199.05	4.00
199.86	3.00
200.66	2.00
201.47	1.00
202.27	6.00
203.07	5.00
203.88	2.00
204.68	6.00
205.49	1.00
206.29	3.00
207.09	5.00
207.90	1.00
208.70	2.00
209.51	6.00
210.31	3.00
211.11	4.00
211.92	5.00
212.72	2.00
213.52	5.00
214.33	6.00
215.13	1.00
215.93	6.00
216.74	6.00
217.54	2.00
218.34	5.00
219.15	3.00
219.95	0.00
220.75	5.00
221.55	3.00
222.36	4.00
223.16	3.00
223.96	5.00
224.76	5.00
225.57	2.00
226.37	6.00
227.17	2.00
227.97	4.00
228.78	4.00
229.58	6.00
230.38	4.00
231.18	1.00
231.98	5.00
232.79	0.00
233.59	4.00
234.39	3.00
235.19	3.00
235.99	6.00
236.79	0.00
237.59	4.00
238.40	10.00
239.20	3.00
240.00	5.00
240.80	3.00
241.60	0.00
242.40	4.00
243.20	5.00
244.00	3.00
244.80	5.00
245.60	6.00
246.41	2.00
247.21	2.00
248.01	4.00
248.81	3.00
249.61	4.00
250.41	5.00
251.21	5.00
252.01	1.00
252.81	7.00
253.61	8.00
254.41	3.00
255.21	8.00
256.01	5.00
256.81	2.00
257.61	9.00
258.41	3.00
259.21	7.00
260.01	8.00
260.81	4.00
261.61	7.00
262.41	9.00
263.20	1.00
264.00	3.00
264.80	7.00
265.60	5.00
266.40	5.00
267.20	3.00
268.00	4.00
268.80	7.00
269.60	4.00
270.39	8.00
271.19	5.00
271.99	3.00
272.79	5.00
273.59	4.00
274.39	5.00
275.19	2.00
275.98	2.00
276.78	8.00
277.58	0.00
278.38	4.00
279.18	3.00
279.97	2.00
280.77	1.00
281.57	4.00
282.37	3.00
283.16	6.00
283.96	6.00
284.76	2.00
285.56	5.00
286.35	5.00
287.15	4.00
287.95	7.00
288.75	5.00
289.54	4.00
290.34	6.00
291.14	2.00
291.93	9.00
292.73	4.00
293.53	5.00
294.32	3.00
295.12	6.00
295.92	6.00
296.71	5.00
297.51	4.00
298.31	4.00
299.10	5.00
299.90	8.00
300.69	7.00
301.49	5.00
302.29	5.00
303.08	2.00
