"強度
\
波段",blue sky,,
,,Algorithm,Regression
574,0.168,0.0704,0.0883
575,0.167,0.0698,0.0879
576,0.1662,0.0693,0.0874
577,0.1654,0.0688,0.087
578,0.1646,0.0683,0.0865
579,0.1638,0.0678,0.0861
580,0.163,0.0673,0.0856
581,0.1624,0.067,0.0853
582,0.1618,0.0667,0.0849
583,0.1612,0.0664,0.0846
584,0.1606,0.0661,0.0842
585,0.16,0.0657,0.0838
586,0.1594,0.0654,0.0834
587,0.1588,0.0651,0.083
588,0.1582,0.0648,0.0825
589,0.1576,0.0644,0.0821
590,0.157,0.0641,0.0817
591,0.1562,0.0637,0.0811
592,0.1554,0.0633,0.0806
593,0.1546,0.0629,0.0801
594,0.1538,0.0626,0.0796
595,0.153,0.0622,0.079
596,0.1524,0.0618,0.0785
597,0.1518,0.0615,0.078
598,0.1512,0.0612,0.0775
599,0.1506,0.0609,0.077
600,0.15,0.0605,0.0765
601,0.1494,0.0604,0.0761
602,0.1488,0.0602,0.0757
603,0.1482,0.06,0.0753
604,0.1476,0.0598,0.0749
605,0.147,0.0596,0.0745
606,0.1464,0.0596,0.0743
607,0.1458,0.0597,0.074
608,0.1452,0.0597,0.0738
609,0.1446,0.0597,0.0736
610,0.144,0.0597,0.0733
611,0.1434,0.0597,0.0731
612,0.1428,0.0598,0.0729
613,0.1422,0.0598,0.0727
614,0.1416,0.0599,0.0725
615,0.141,0.06,0.0724
616,0.1402,0.0601,0.0723
617,0.1394,0.0602,0.0722
618,0.1386,0.0604,0.0721
619,0.1378,0.0605,0.072
620,0.137,0.0606,0.0718
621,0.1362,0.0609,0.0719
622,0.1354,0.0611,0.0719
623,0.1346,0.0614,0.0719
624,0.1338,0.0616,0.0719
625,0.133,0.0619,0.0719
626,0.1324,0.0622,0.072
627,0.1318,0.0626,0.0722
628,0.1312,0.0629,0.0723
629,0.1306,0.0632,0.0725
630,0.13,0.0636,0.0726
631,0.1292,0.0639,0.0728
632,0.1284,0.0642,0.0729
633,0.1276,0.0645,0.0731
634,0.1268,0.0648,0.0732
635,0.126,0.0651,0.0734
636,0.1254,0.0656,0.0737
637,0.1248,0.0661,0.074
638,0.1242,0.0665,0.0743
639,0.1236,0.067,0.0747
640,0.123,0.0675,0.075
641,0.1224,0.068,0.0754
642,0.1218,0.0686,0.0758
643,0.1212,0.0691,0.0762
