"強度
\
波段",Yellow green,,
,,Algorithm,Regression
571,0.484,0.2906,0.2713
572,0.481,0.2883,0.2688
573,0.478,0.286,0.2663
574,0.475,0.2837,0.2637
575,0.472,0.2814,0.2612
576,0.4684,0.2789,0.2587
577,0.4648,0.2764,0.2561
578,0.4612,0.2739,0.2535
579,0.4576,0.2713,0.251
580,0.454,0.2688,0.2484
581,0.4504,0.2664,0.2461
582,0.4468,0.264,0.2438
583,0.4432,0.2616,0.2415
584,0.4396,0.2592,0.2392
585,0.436,0.2568,0.2369
586,0.432,0.2542,0.2345
587,0.428,0.2516,0.2321
588,0.424,0.249,0.2297
589,0.42,0.2464,0.2273
590,0.416,0.2437,0.2249
591,0.4116,0.2408,0.2223
592,0.4072,0.2379,0.2197
593,0.4028,0.235,0.2171
594,0.3984,0.2322,0.2144
595,0.394,0.2293,0.2118
596,0.39,0.2265,0.2093
597,0.386,0.2237,0.2069
598,0.382,0.2209,0.2044
599,0.378,0.2181,0.202
600,0.374,0.2153,0.1995
601,0.3708,0.2129,0.1974
602,0.3676,0.2104,0.1952
603,0.3644,0.2079,0.1931
604,0.3612,0.2054,0.191
605,0.358,0.203,0.1888
606,0.3556,0.2009,0.1871
607,0.3532,0.1987,0.1853
608,0.3508,0.1966,0.1835
609,0.3484,0.1945,0.1817
610,0.346,0.1924,0.1799
611,0.3442,0.1906,0.1784
612,0.3424,0.1888,0.1768
613,0.3406,0.187,0.1753
614,0.3388,0.1852,0.1738
615,0.337,0.1833,0.1722
616,0.3358,0.1821,0.1712
617,0.3346,0.1808,0.1701
618,0.3334,0.1795,0.1691
619,0.3322,0.1782,0.168
620,0.331,0.1769,0.167
621,0.3304,0.176,0.1663
622,0.3298,0.1752,0.1657
623,0.3292,0.1743,0.165
624,0.3286,0.1734,0.1643
625,0.328,0.1725,0.1637
626,0.3274,0.1718,0.1631
627,0.3268,0.171,0.1626
628,0.3262,0.1703,0.162
629,0.3256,0.1696,0.1614
630,0.325,0.1689,0.1609
631,0.3244,0.1682,0.1604
632,0.3238,0.1676,0.1599
633,0.3232,0.167,0.1595
634,0.3226,0.1664,0.159
635,0.322,0.1657,0.1585
636,0.3216,0.1652,0.1582
637,0.3212,0.1648,0.1579
638,0.3208,0.1643,0.1575
639,0.3204,0.1638,0.1572
640,0.32,0.1633,0.1569
641,0.3198,0.163,0.1568
642,0.3196,0.1627,0.1567
643,0.3194,0.1625,0.1566
644,0.3192,0.1622,0.1565
645,0.319,0.1619,0.1564
646,0.319,0.1618,0.1565
647,0.319,0.1617,0.1565
648,0.319,0.1615,0.1566
649,0.319,0.1614,0.1567
650,0.319,0.1613,0.1567
651,0.3192,0.1614,0.157
652,0.3194,0.1614,0.1573
653,0.3196,0.1614,0.1575
654,0.3198,0.1615,0.1578
655,0.32,0.1615,0.1581
656,0.3208,0.1618,0.1586
657,0.3216,0.1621,0.1591
658,0.3224,0.1624,0.1596
659,0.3232,0.1627,0.1601
660,0.324,0.1629,0.1606
661,0.3252,0.1635,0.1615
662,0.3264,0.1641,0.1624
663,0.3276,0.1647,0.1632
664,0.3288,0.1654,0.1641
665,0.33,0.166,0.165
666,0.3314,0.1668,0.166
667,0.3328,0.1676,0.1671
668,0.3342,0.1684,0.1681
669,0.3356,0.1692,0.1692
670,0.337,0.17,0.1702
671,0.3386,0.1713,0.1717
672,0.3402,0.1726,0.1733
673,0.3418,0.1739,0.1748
674,0.3434,0.1751,0.1764
675,0.345,0.1764,0.1779
676,0.3468,0.178,0.1798
677,0.3486,0.1796,0.1816
678,0.3504,0.1812,0.1835
679,0.3522,0.1829,0.1853
680,0.354,0.1845,0.1872
681,0.3556,0.1864,0.1893
682,0.3572,0.1883,0.1914
683,0.3588,0.1901,0.1936
684,0.3604,0.192,0.1957
685,0.362,0.1939,0.1978
686,0.3632,0.1959,0.2
687,0.3644,0.198,0.2022
688,0.3656,0.2,0.2044
689,0.3668,0.202,0.2066
690,0.368,0.204,0.2088
691,0.3694,0.2065,0.2116
692,0.3708,0.2091,0.2143
693,0.3722,0.2117,0.2171
694,0.3736,0.2142,0.2199
695,0.375,0.2168,0.2226
696,0.3758,0.2192,0.2252
697,0.3766,0.2217,0.2278
698,0.3774,0.2241,0.2304
699,0.3782,0.2265,0.233
700,0.379,0.229,0.2356
701,0.3794,0.2311,0.2379
702,0.3798,0.2333,0.2402
703,0.3802,0.2354,0.2425
704,0.3806,0.2375,0.2447
705,0.381,0.2397,0.247
706,0.3806,0.2412,0.2487
707,0.3802,0.2427,0.2503
708,0.3798,0.2442,0.2519
709,0.3794,0.2457,0.2535
710,0.379,0.2473,0.2552
711,0.3784,0.2482,0.2562
712,0.3778,0.2492,0.2571
713,0.3772,0.2501,0.2581
714,0.3766,0.2511,0.2591
715,0.376,0.252,0.2601
716,0.3754,0.2527,0.2608
717,0.3748,0.2535,0.2615
718,0.3742,0.2542,0.2622
719,0.3736,0.2549,0.2629
720,0.373,0.2556,0.2636
721,0.3728,0.2564,0.2643
722,0.3726,0.2572,0.2651
723,0.3724,0.2579,0.2658
724,0.3722,0.2587,0.2665
725,0.372,0.2595,0.2673
726,0.3726,0.2601,0.2679
727,0.3732,0.2608,0.2685
728,0.3738,0.2614,0.269
729,0.3744,0.262,0.2696
730,0.375,0.2627,0.2702
731,0.3764,0.2636,0.271
732,0.3778,0.2645,0.2718
733,0.3792,0.2654,0.2726
734,0.3806,0.2662,0.2734
735,0.382,0.2671,0.2742
736,0.384,0.2681,0.275
737,0.386,0.2691,0.2758
738,0.388,0.2701,0.2767
739,0.39,0.2711,0.2775
740,0.392,0.2721,0.2784
741,0.3938,0.2725,0.2786
742,0.3956,0.273,0.2788
743,0.3974,0.2735,0.279
744,0.3992,0.2739,0.2792
745,0.401,0.2744,0.2795
746,0.4032,0.2754,0.2802
747,0.4054,0.2764,0.2809
748,0.4076,0.2773,0.2816
749,0.4098,0.2783,0.2824
750,0.412,0.2793,0.2831
751,0.414,0.2801,0.2837
752,0.416,0.281,0.2842
753,0.418,0.2818,0.2848
754,0.42,0.2827,0.2854
755,0.422,0.2835,0.2859
756,0.4242,0.2845,0.2866
757,0.4264,0.2854,0.2872
758,0.4286,0.2863,0.2878
759,0.4308,0.2873,0.2885
760,0.433,0.2882,0.2891
761,0.4336,0.2883,0.2889
762,0.4342,0.2884,0.2888
763,0.4348,0.2885,0.2887
764,0.4354,0.2886,0.2885
765,0.436,0.2888,0.2884
766,0.434,0.287,0.2863
767,0.432,0.2853,0.2843
768,0.43,0.2836,0.2822
769,0.428,0.2818,0.2802
770,0.426,0.2801,0.2782
771,0.4234,0.2784,0.2762
772,0.4208,0.2767,0.2742
773,0.4182,0.275,0.2722
774,0.4156,0.2733,0.2702
775,0.413,0.2716,0.2683
776,0.4112,0.2706,0.267
777,0.4094,0.2696,0.2658
778,0.4076,0.2686,0.2646
779,0.4058,0.2676,0.2633
780,0.404,0.2666,0.2621
