"強度
\
波段",Neutral 8,,
,,Algorithm,Regression
380,0.15,0.1422,0.156
381,0.1568,0.148,0.1618
382,0.1636,0.1537,0.1676
383,0.1704,0.1595,0.1734
384,0.1772,0.1653,0.1792
385,0.184,0.171,0.185
386,0.1942,0.1793,0.1933
387,0.2044,0.1876,0.2015
388,0.2146,0.1959,0.2098
389,0.2248,0.2042,0.218
390,0.235,0.2125,0.2262
391,0.2478,0.2227,0.2363
392,0.2606,0.2328,0.2463
393,0.2734,0.243,0.2563
394,0.2862,0.2531,0.2663
395,0.299,0.2633,0.2764
396,0.3136,0.2741,0.287
397,0.3282,0.2849,0.2977
398,0.3428,0.2957,0.3083
399,0.3574,0.3065,0.319
400,0.372,0.3174,0.3296
401,0.3894,0.3272,0.339
402,0.4068,0.337,0.3485
403,0.4242,0.3469,0.3579
404,0.4416,0.3567,0.3673
405,0.459,0.3666,0.3767
406,0.473,0.3736,0.3833
407,0.487,0.3806,0.3899
408,0.501,0.3876,0.3966
409,0.515,0.3947,0.4032
410,0.529,0.4017,0.4098
411,0.536,0.4055,0.4134
412,0.543,0.4093,0.4171
413,0.55,0.4131,0.4207
414,0.557,0.4169,0.4243
415,0.564,0.4206,0.428
416,0.5672,0.4227,0.43
417,0.5704,0.4248,0.432
418,0.5736,0.4268,0.434
419,0.5768,0.4289,0.436
420,0.58,0.431,0.438
421,0.5808,0.4315,0.4385
422,0.5816,0.432,0.439
423,0.5824,0.4325,0.4395
424,0.5832,0.433,0.4401
425,0.584,0.4335,0.4406
426,0.5842,0.4334,0.4406
427,0.5844,0.4333,0.4407
428,0.5846,0.4332,0.4408
429,0.5848,0.4331,0.4409
430,0.585,0.4331,0.441
431,0.5854,0.4329,0.4409
432,0.5858,0.4327,0.4409
433,0.5862,0.4325,0.4408
434,0.5866,0.4323,0.4408
435,0.587,0.4322,0.4407
436,0.587,0.4317,0.4404
437,0.587,0.4313,0.4402
438,0.587,0.4309,0.4399
439,0.587,0.4304,0.4396
440,0.587,0.43,0.4394
441,0.5872,0.4296,0.4391
442,0.5874,0.4292,0.4388
443,0.5876,0.4288,0.4386
444,0.5878,0.4283,0.4383
445,0.588,0.4279,0.4381
446,0.588,0.4275,0.4376
447,0.588,0.427,0.4372
448,0.588,0.4266,0.4368
449,0.588,0.4262,0.4363
450,0.588,0.4257,0.4359
451,0.5878,0.4255,0.4354
452,0.5876,0.4253,0.4349
453,0.5874,0.425,0.4344
454,0.5872,0.4248,0.4338
455,0.587,0.4245,0.4333
456,0.5868,0.4246,0.4329
457,0.5866,0.4247,0.4324
458,0.5864,0.4248,0.4319
459,0.5862,0.4249,0.4315
460,0.586,0.4249,0.431
461,0.5858,0.4254,0.4307
462,0.5856,0.4258,0.4304
463,0.5854,0.4263,0.4302
464,0.5852,0.4267,0.4299
465,0.585,0.4272,0.4296
466,0.5846,0.4278,0.4293
467,0.5842,0.4284,0.4291
468,0.5838,0.4291,0.4289
469,0.5834,0.4297,0.4286
470,0.583,0.4303,0.4284
471,0.5828,0.4311,0.4282
472,0.5826,0.4319,0.4281
473,0.5824,0.4327,0.4279
474,0.5822,0.4335,0.4277
475,0.582,0.4343,0.4276
476,0.5818,0.435,0.4273
477,0.5816,0.4357,0.427
478,0.5814,0.4364,0.4267
479,0.5812,0.4371,0.4265
480,0.581,0.4378,0.4262
481,0.5808,0.4386,0.4261
482,0.5806,0.4394,0.4261
483,0.5804,0.4402,0.426
484,0.5802,0.441,0.426
485,0.58,0.4417,0.4259
486,0.58,0.4424,0.426
487,0.58,0.443,0.4261
488,0.58,0.4436,0.4261
489,0.58,0.4443,0.4262
490,0.58,0.4449,0.4262
491,0.58,0.4454,0.4265
492,0.58,0.4458,0.4268
493,0.58,0.4463,0.427
494,0.58,0.4467,0.4273
495,0.58,0.4472,0.4275
496,0.58,0.4475,0.4282
497,0.58,0.4479,0.429
498,0.58,0.4483,0.4297
499,0.58,0.4487,0.4304
500,0.58,0.449,0.4311
501,0.58,0.4492,0.4321
502,0.58,0.4494,0.4331
503,0.58,0.4496,0.434
504,0.58,0.4498,0.435
505,0.58,0.45,0.436
506,0.58,0.4498,0.4371
507,0.58,0.4497,0.4381
508,0.58,0.4496,0.4392
509,0.58,0.4494,0.4403
510,0.58,0.4493,0.4413
511,0.5802,0.4488,0.4422
512,0.5804,0.4482,0.443
513,0.5806,0.4477,0.4439
514,0.5808,0.4472,0.4447
515,0.581,0.4466,0.4456
516,0.581,0.4456,0.4457
517,0.581,0.4446,0.4459
518,0.581,0.4435,0.4461
519,0.581,0.4425,0.4463
520,0.581,0.4414,0.4465
521,0.5812,0.44,0.4459
522,0.5814,0.4386,0.4452
523,0.5816,0.4372,0.4445
524,0.5818,0.4357,0.4439
525,0.582,0.4343,0.4432
526,0.582,0.4329,0.442
527,0.582,0.4315,0.4408
528,0.582,0.43,0.4397
529,0.582,0.4286,0.4385
530,0.582,0.4272,0.4373
531,0.582,0.4259,0.4359
532,0.582,0.4247,0.4345
533,0.582,0.4234,0.4331
534,0.582,0.4222,0.4317
535,0.582,0.4209,0.4304
536,0.5822,0.4199,0.4289
537,0.5824,0.4188,0.4275
538,0.5826,0.4178,0.4261
539,0.5828,0.4167,0.4247
540,0.583,0.4157,0.4232
541,0.583,0.4149,0.422
542,0.583,0.414,0.4207
543,0.583,0.4132,0.4194
544,0.583,0.4124,0.4181
545,0.583,0.4116,0.4168
546,0.583,0.4107,0.4153
547,0.583,0.4099,0.4139
548,0.583,0.409,0.4124
549,0.583,0.4081,0.411
550,0.583,0.4072,0.4095
551,0.5832,0.4062,0.4079
552,0.5834,0.4052,0.4063
553,0.5836,0.4042,0.4046
554,0.5838,0.4032,0.403
555,0.584,0.4021,0.4014
556,0.584,0.4009,0.3995
557,0.584,0.3996,0.3976
558,0.584,0.3984,0.3956
559,0.584,0.3971,0.3937
560,0.584,0.3959,0.3918
561,0.5842,0.3947,0.39
562,0.5844,0.3935,0.3882
563,0.5846,0.3923,0.3863
564,0.5848,0.3911,0.3845
565,0.585,0.39,0.3827
566,0.5852,0.3893,0.3815
567,0.5854,0.3886,0.3802
568,0.5856,0.3879,0.379
569,0.5858,0.3872,0.3777
570,0.586,0.3865,0.3765
571,0.5862,0.3863,0.3759
572,0.5864,0.386,0.3754
573,0.5866,0.3858,0.3748
574,0.5868,0.3855,0.3743
575,0.587,0.3853,0.3737
576,0.5872,0.3857,0.3739
577,0.5874,0.3861,0.374
578,0.5876,0.3865,0.3742
579,0.5878,0.3869,0.3744
580,0.588,0.3873,0.3745
581,0.588,0.3882,0.3755
582,0.588,0.3892,0.3764
583,0.588,0.3901,0.3774
584,0.588,0.391,0.3783
585,0.588,0.392,0.3792
586,0.588,0.3932,0.3806
587,0.588,0.3943,0.3819
588,0.588,0.3955,0.3832
589,0.588,0.3967,0.3846
590,0.588,0.3979,0.3859
591,0.588,0.399,0.3873
592,0.588,0.4001,0.3887
593,0.588,0.4012,0.39
594,0.588,0.4023,0.3914
595,0.588,0.4034,0.3928
596,0.588,0.4046,0.3944
597,0.588,0.4059,0.396
598,0.588,0.4071,0.3975
599,0.588,0.4083,0.3991
600,0.588,0.4095,0.4007
601,0.5878,0.4107,0.4025
602,0.5876,0.412,0.4043
603,0.5874,0.4133,0.406
604,0.5872,0.4145,0.4078
605,0.587,0.4158,0.4096
606,0.5868,0.4169,0.4114
607,0.5866,0.4181,0.4133
608,0.5864,0.4192,0.4151
609,0.5862,0.4204,0.4169
610,0.586,0.4215,0.4188
611,0.586,0.4225,0.4205
612,0.586,0.4235,0.4222
613,0.586,0.4245,0.4239
614,0.586,0.4255,0.4256
615,0.586,0.4264,0.4273
616,0.5858,0.4272,0.4288
617,0.5856,0.4281,0.4304
618,0.5854,0.4289,0.4319
619,0.5852,0.4297,0.4334
620,0.585,0.4305,0.435
621,0.5848,0.4313,0.4365
622,0.5846,0.4321,0.438
623,0.5844,0.4328,0.4395
624,0.5842,0.4336,0.4411
625,0.584,0.4344,0.4426
626,0.5838,0.4352,0.4439
627,0.5836,0.436,0.4453
628,0.5834,0.4368,0.4467
629,0.5832,0.4376,0.448
630,0.583,0.4384,0.4494
631,0.5826,0.4391,0.4505
632,0.5822,0.4397,0.4516
633,0.5818,0.4404,0.4527
634,0.5814,0.4411,0.4538
635,0.581,0.4418,0.455
636,0.5808,0.4427,0.4562
637,0.5806,0.4435,0.4574
638,0.5804,0.4444,0.4585
639,0.5802,0.4452,0.4597
640,0.58,0.4461,0.4609
641,0.5798,0.4472,0.4624
642,0.5796,0.4483,0.4638
643,0.5794,0.4495,0.4652
644,0.5792,0.4506,0.4667
645,0.579,0.4517,0.4681
646,0.5788,0.453,0.4696
647,0.5786,0.4542,0.4711
648,0.5784,0.4555,0.4726
649,0.5782,0.4567,0.4741
650,0.578,0.458,0.4756
651,0.5778,0.4594,0.4772
652,0.5776,0.4607,0.4788
653,0.5774,0.4621,0.4804
654,0.5772,0.4635,0.482
655,0.577,0.4649,0.4836
656,0.5768,0.4662,0.4852
657,0.5766,0.4676,0.4868
658,0.5764,0.4689,0.4884
659,0.5762,0.4703,0.4899
660,0.576,0.4716,0.4915
661,0.5758,0.4731,0.4932
662,0.5756,0.4745,0.4949
663,0.5754,0.4759,0.4966
664,0.5752,0.4774,0.4983
665,0.575,0.4788,0.5
666,0.5748,0.4801,0.5015
667,0.5746,0.4813,0.5031
668,0.5744,0.4826,0.5046
669,0.5742,0.4838,0.5061
670,0.574,0.4851,0.5077
671,0.5738,0.4863,0.5093
672,0.5736,0.4876,0.511
673,0.5734,0.4888,0.5126
674,0.5732,0.4901,0.5143
675,0.573,0.4914,0.5159
676,0.5728,0.4925,0.5176
677,0.5726,0.4936,0.5193
678,0.5724,0.4947,0.5209
679,0.5722,0.4959,0.5226
680,0.572,0.497,0.5242
681,0.5718,0.4979,0.5258
682,0.5716,0.4987,0.5273
683,0.5714,0.4996,0.5289
684,0.5712,0.5005,0.5304
685,0.571,0.5014,0.532
686,0.5708,0.502,0.5334
687,0.5706,0.5026,0.5348
688,0.5704,0.5032,0.5362
689,0.5702,0.5038,0.5376
690,0.57,0.5045,0.539
691,0.5698,0.505,0.5406
692,0.5696,0.5055,0.5421
693,0.5694,0.5061,0.5437
694,0.5692,0.5066,0.5453
695,0.569,0.5071,0.5468
696,0.5688,0.5075,0.5483
697,0.5686,0.5078,0.5497
698,0.5684,0.5082,0.5511
