"強度
\
波段",foliage,,
,,Algorithm,Regression
572,0.1256,0.077,0.0872
573,0.1254,0.0764,0.0867
574,0.1252,0.0758,0.0863
575,0.125,0.0751,0.0858
576,0.1244,0.0745,0.0852
577,0.1238,0.0739,0.0846
578,0.1232,0.0733,0.0841
579,0.1226,0.0726,0.0835
580,0.122,0.072,0.0829
581,0.1214,0.0716,0.0824
582,0.1208,0.0711,0.0819
583,0.1202,0.0707,0.0813
584,0.1196,0.0702,0.0808
585,0.119,0.0698,0.0802
586,0.1182,0.0693,0.0796
587,0.1174,0.0689,0.079
588,0.1166,0.0685,0.0784
589,0.1158,0.0681,0.0778
590,0.115,0.0676,0.0772
591,0.1138,0.0672,0.0766
592,0.1126,0.0667,0.0759
593,0.1114,0.0663,0.0752
594,0.1102,0.0658,0.0745
595,0.109,0.0654,0.0739
596,0.108,0.065,0.0733
597,0.107,0.0647,0.0727
598,0.106,0.0643,0.072
599,0.105,0.064,0.0714
600,0.104,0.0636,0.0708
601,0.1032,0.0634,0.0703
602,0.1024,0.0632,0.0698
603,0.1016,0.063,0.0693
604,0.1008,0.0628,0.0689
605,0.1,0.0626,0.0684
606,0.0996,0.0626,0.068
607,0.0992,0.0625,0.0677
608,0.0988,0.0625,0.0673
609,0.0984,0.0624,0.067
610,0.098,0.0624,0.0667
611,0.0978,0.0624,0.0664
612,0.0976,0.0625,0.0662
613,0.0974,0.0625,0.066
614,0.0972,0.0626,0.0657
615,0.097,0.0626,0.0655
616,0.0972,0.0628,0.0654
617,0.0974,0.0629,0.0653
618,0.0976,0.0631,0.0652
619,0.0978,0.0632,0.0651
620,0.098,0.0634,0.065
621,0.0984,0.0636,0.0649
622,0.0988,0.0638,0.0649
623,0.0992,0.0641,0.0649
624,0.0996,0.0643,0.0648
625,0.1,0.0645,0.0648
626,0.1,0.0647,0.0648
627,0.1,0.0649,0.0648
628,0.1,0.0651,0.0648
629,0.1,0.0653,0.0648
630,0.1,0.0655,0.0648
631,0.0998,0.0657,0.0647
632,0.0996,0.0658,0.0647
633,0.0994,0.0659,0.0646
634,0.0992,0.0661,0.0646
635,0.099,0.0662,0.0646
