"強度
\
波段",Neutral 6.5,,
,,Algorithm,Regression
380,0.138,0.0878,0.0984
381,0.1438,0.0905,0.1016
382,0.1496,0.0933,0.1047
383,0.1554,0.096,0.1078
384,0.1612,0.0987,0.1109
385,0.167,0.1015,0.114
386,0.1748,0.1052,0.1182
387,0.1826,0.1089,0.1224
388,0.1904,0.1126,0.1266
389,0.1982,0.1163,0.1308
390,0.206,0.12,0.135
391,0.2146,0.1244,0.1399
392,0.2232,0.1287,0.1448
393,0.2318,0.1331,0.1498
394,0.2404,0.1375,0.1547
395,0.249,0.1419,0.1597
396,0.257,0.1464,0.1647
397,0.265,0.1508,0.1697
398,0.273,0.1553,0.1746
399,0.281,0.1598,0.1796
400,0.289,0.1643,0.1846
401,0.296,0.1676,0.188
402,0.303,0.1708,0.1914
403,0.31,0.1741,0.1948
404,0.317,0.1774,0.1982
405,0.324,0.1806,0.2016
406,0.3284,0.1824,0.2032
407,0.3328,0.1843,0.2047
408,0.3372,0.1861,0.2063
409,0.3416,0.1879,0.2079
410,0.346,0.1897,0.2095
411,0.3476,0.1906,0.21
412,0.3492,0.1915,0.2105
413,0.3508,0.1924,0.211
414,0.3524,0.1932,0.2115
415,0.354,0.1941,0.212
416,0.3546,0.1946,0.2122
417,0.3552,0.1951,0.2124
418,0.3558,0.1956,0.2125
419,0.3564,0.1961,0.2127
420,0.357,0.1967,0.2129
421,0.3572,0.197,0.2128
422,0.3574,0.1973,0.2128
423,0.3576,0.1976,0.2127
424,0.3578,0.198,0.2127
425,0.358,0.1983,0.2126
426,0.3582,0.1987,0.2127
427,0.3584,0.1992,0.2128
428,0.3586,0.1996,0.2129
429,0.3588,0.2,0.213
430,0.359,0.2005,0.2131
431,0.3592,0.201,0.2132
432,0.3594,0.2015,0.2133
433,0.3596,0.2019,0.2134
434,0.3598,0.2024,0.2134
435,0.36,0.2029,0.2135
436,0.3602,0.2034,0.2136
437,0.3604,0.204,0.2137
438,0.3606,0.2045,0.2137
439,0.3608,0.205,0.2138
440,0.361,0.2055,0.2138
441,0.3612,0.2061,0.2139
442,0.3614,0.2066,0.2139
443,0.3616,0.2071,0.214
444,0.3618,0.2077,0.214
445,0.362,0.2082,0.2141
446,0.362,0.2086,0.214
447,0.362,0.2089,0.2138
448,0.362,0.2092,0.2137
449,0.362,0.2096,0.2136
450,0.362,0.2099,0.2134
451,0.3618,0.21,0.2131
452,0.3616,0.2101,0.2128
453,0.3614,0.2101,0.2124
454,0.3612,0.2102,0.2121
455,0.361,0.2103,0.2117
456,0.361,0.2102,0.2113
457,0.361,0.2102,0.2108
458,0.361,0.2101,0.2103
459,0.361,0.21,0.2098
460,0.361,0.2099,0.2094
461,0.3606,0.2099,0.2089
462,0.3602,0.2098,0.2085
463,0.3598,0.2097,0.208
464,0.3594,0.2097,0.2075
465,0.359,0.2096,0.2071
466,0.3588,0.2094,0.2066
467,0.3586,0.2093,0.2062
468,0.3584,0.2091,0.2057
469,0.3582,0.209,0.2052
470,0.358,0.2088,0.2047
471,0.358,0.2086,0.2043
472,0.358,0.2084,0.2038
473,0.358,0.2082,0.2033
474,0.358,0.208,0.2028
475,0.358,0.2078,0.2024
476,0.3578,0.2074,0.2018
477,0.3576,0.2071,0.2013
478,0.3574,0.2067,0.2007
479,0.3572,0.2064,0.2002
480,0.357,0.2061,0.1996
481,0.3568,0.2058,0.1993
482,0.3566,0.2055,0.1989
483,0.3564,0.2052,0.1986
484,0.3562,0.2049,0.1983
485,0.356,0.2046,0.1979
486,0.356,0.2044,0.1978
487,0.356,0.2042,0.1977
488,0.356,0.2039,0.1976
489,0.356,0.2037,0.1974
490,0.356,0.2035,0.1973
491,0.356,0.2035,0.1975
492,0.356,0.2035,0.1978
