"強度
\
波段",Yellow,,
,,Algorithm,Regression
574,0.6956,0.5252,0.5316
575,0.698,0.527,0.534
576,0.7,0.5287,0.5361
577,0.702,0.5304,0.5382
578,0.704,0.5321,0.5403
579,0.706,0.5338,0.5424
580,0.708,0.5355,0.5445
581,0.71,0.5373,0.5466
582,0.712,0.5391,0.5487
583,0.714,0.5409,0.5509
584,0.716,0.5427,0.553
585,0.718,0.5446,0.5552
586,0.7196,0.546,0.5568
587,0.7212,0.5475,0.5585
588,0.7228,0.549,0.5601
589,0.7244,0.5504,0.5618
590,0.726,0.5519,0.5634
591,0.7272,0.553,0.5645
592,0.7284,0.554,0.5657
593,0.7296,0.5551,0.5668
594,0.7308,0.5562,0.5679
595,0.732,0.5573,0.569
596,0.733,0.5582,0.5697
597,0.734,0.5591,0.5704
598,0.735,0.56,0.5712
599,0.736,0.5609,0.5719
600,0.737,0.5618,0.5726
601,0.738,0.5628,0.5732
602,0.739,0.5639,0.5739
603,0.74,0.5649,0.5745
604,0.741,0.5659,0.5752
605,0.742,0.5669,0.5758
606,0.7428,0.5679,0.5763
607,0.7436,0.569,0.5767
608,0.7444,0.57,0.5771
609,0.7452,0.571,0.5776
610,0.746,0.572,0.578
611,0.7466,0.573,0.5783
612,0.7472,0.574,0.5786
613,0.7478,0.575,0.5788
614,0.7484,0.576,0.5791
615,0.749,0.577,0.5794
616,0.7498,0.5781,0.5797
617,0.7506,0.5791,0.5801
618,0.7514,0.5801,0.5804
619,0.7522,0.5812,0.5807
620,0.753,0.5822,0.5811
621,0.7538,0.5833,0.5815
622,0.7546,0.5843,0.582
623,0.7554,0.5854,0.5824
624,0.7562,0.5864,0.5829
625,0.757,0.5875,0.5834
626,0.7578,0.5883,0.5838
627,0.7586,0.5891,0.5842
628,0.7594,0.5899,0.5847
629,0.7602,0.5907,0.5851
630,0.761,0.5915,0.5855
631,0.7618,0.5921,0.586
632,0.7626,0.5927,0.5864
633,0.7634,0.5933,0.5868
634,0.7642,0.5939,0.5873
635,0.765,0.5945,0.5877
636,0.7656,0.5949,0.5882
637,0.7662,0.5953,0.5886
638,0.7668,0.5957,0.5891
639,0.7674,0.5961,0.5895
640,0.768,0.5965,0.59
641,0.7688,0.5971,0.5907
642,0.7696,0.5976,0.5915
643,0.7704,0.5982,0.5922
644,0.7712,0.5988,0.593
645,0.772,0.5993,0.5937
646,0.773,0.6,0.5946
647,0.774,0.6006,0.5955
648,0.775,0.6012,0.5964
649,0.776,0.6018,0.5973
650,0.777,0.6025,0.5982
651,0.7774,0.6027,0.5988
652,0.7778,0.603,0.5994
653,0.7782,0.6032,0.6
654,0.7786,0.6035,0.6007
655,0.779,0.6037,0.6013
656,0.7792,0.6039,0.6019
657,0.7794,0.6042,0.6025
658,0.7796,0.6044,0.6031
659,0.7798,0.6046,0.6037
660,0.78,0.6049,0.6043
661,0.78,0.6052,0.605
662,0.78,0.6055,0.6057
663,0.78,0.6059,0.6064
664,0.78,0.6062,0.6071
665,0.78,0.6066,0.6078
666,0.7802,0.6071,0.6086
667,0.7804,0.6076,0.6094
668,0.7806,0.6081,0.6102
669,0.7808,0.6086,0.6109
670,0.781,0.6091,0.6117
671,0.7812,0.61,0.6128
672,0.7814,0.6109,0.6138
673,0.7816,0.6118,0.6148
674,0.7818,0.6127,0.6159
675,0.782,0.6137,0.6169
676,0.7826,0.6149,0.6182
