"強度
\
波段",blue flower,,
,,Algorithm,Regression
573,0.1978,0.1075,0.1214
574,0.1984,0.1075,0.1215
575,0.199,0.1076,0.1216
576,0.2004,0.108,0.1221
577,0.2018,0.1085,0.1226
578,0.2032,0.109,0.1231
579,0.2046,0.1094,0.1236
580,0.206,0.1099,0.1241
581,0.2078,0.1108,0.125
582,0.2096,0.1118,0.126
583,0.2114,0.1127,0.127
584,0.2132,0.1136,0.1279
585,0.215,0.1146,0.1289
586,0.2166,0.1158,0.1301
587,0.2182,0.1169,0.1312
588,0.2198,0.1181,0.1324
589,0.2214,0.1193,0.1336
590,0.223,0.1204,0.1347
591,0.2242,0.1217,0.136
592,0.2254,0.1229,0.1372
593,0.2266,0.1242,0.1384
594,0.2278,0.1254,0.1396
595,0.229,0.1266,0.1408
596,0.2302,0.128,0.1421
597,0.2314,0.1293,0.1434
598,0.2326,0.1307,0.1448
599,0.2338,0.132,0.1461
600,0.235,0.1334,0.1474
601,0.2362,0.1349,0.1488
602,0.2374,0.1365,0.1503
603,0.2386,0.138,0.1518
604,0.2398,0.1395,0.1533
605,0.241,0.1411,0.1548
606,0.2418,0.1427,0.1563
607,0.2426,0.1444,0.1579
608,0.2434,0.146,0.1595
609,0.2442,0.1477,0.1611
610,0.245,0.1493,0.1627
611,0.245,0.1509,0.1642
612,0.245,0.1525,0.1657
613,0.245,0.1541,0.1673
614,0.245,0.1557,0.1688
615,0.245,0.1573,0.1703
616,0.2446,0.1587,0.1717
617,0.2442,0.1602,0.1731
618,0.2438,0.1616,0.1745
619,0.2434,0.1631,0.1759
620,0.243,0.1645,0.1773
621,0.243,0.1659,0.1786
622,0.243,0.1673,0.18
623,0.243,0.1687,0.1813
624,0.243,0.1701,0.1827
625,0.243,0.1715,0.1841
626,0.2438,0.1728,0.1853
627,0.2446,0.1741,0.1866
628,0.2454,0.1753,0.1878
629,0.2462,0.1766,0.1891
630,0.247,0.1779,0.1903
631,0.2484,0.1789,0.1914
632,0.2498,0.18,0.1924
633,0.2512,0.181,0.1934
634,0.2526,0.1821,0.1945
635,0.254,0.1831,0.1955
636,0.257,0.1842,0.1966
637,0.26,0.1853,0.1977
638,0.263,0.1864,0.1988
639,0.266,0.1875,0.1999
640,0.269,0.1886,0.201
641,0.2734,0.1898,0.2022
642,0.2778,0.1909,0.2034
643,0.2822,0.1921,0.2046
644,0.2866,0.1933,0.2058
645,0.291,0.1945,0.207
646,0.2964,0.1956,0.2081
647,0.3018,0.1968,0.2093
648,0.3072,0.1979,0.2104
649,0.3126,0.199,0.2116
650,0.318,0.2002,0.2128
651,0.3246,0.2014,0.214
652,0.3312,0.2026,0.2152
653,0.3378,0.2038,0.2164
654,0.3444,0.205,0.2176
655,0.351,0.2062,0.2188
656,0.3576,0.2072,0.2199
657,0.3642,0.2083,0.2211
658,0.3708,0.2094,0.2222
659,0.3774,0.2105,0.2233
660,0.384,0.2116,0.2244
661,0.3906,0.2126,0.2254
662,0.3972,0.2137,0.2265
663,0.4038,0.2147,0.2276
664,0.4104,0.2158,0.2287
665,0.417,0.2169,0.2298
666,0.4228,0.2178,0.2307
667,0.4286,0.2187,0.2317
668,0.4344,0.2197,0.2326
669,0.4402,0.2206,0.2336
670,0.446,0.2215,0.2346
671,0.4508,0.2224,0.2355
672,0.4556,0.2233,0.2364
673,0.4604,0.2242,0.2373
674,0.4652,0.225,0.2382
675,0.47,0.2259,0.2391
676,0.474,0.2268,0.24
677,0.478,0.2276,0.2408
678,0.482,0.2285,0.2417
679,0.486,0.2293,0.2426
680,0.49,0.2301,0.2435
681,0.4928,0.2309,0.2443
682,0.4956,0.2317,0.2452
683,0.4984,0.2325,0.246
684,0.5012,0.2333,0.2468
685,0.504,0.2341,0.2477
686,0.5054,0.2348,0.2485
687,0.5068,0.2356,0.2493
688,0.5082,0.2364,0.2501
689,0.5096,0.2371,0.2509
690,0.511,0.2379,0.2517
691,0.5122,0.2387,0.2527
692,0.5134,0.2396,0.2536
693,0.5146,0.2404,0.2545
694,0.5158,0.2413,0.2555
695,0.517,0.2422,0.2564
696,0.5176,0.243,0.2574
697,0.5182,0.2438,0.2583
698,0.5188,0.2447,0.2592
699,0.5194,0.2455,0.2601
700,0.52,0.2463,0.261
701,0.5204,0.2472,0.262
702,0.5208,0.248,0.2629
703,0.5212,0.2488,0.2638
704,0.5216,0.2497,0.2647
705,0.522,0.2505,0.2656
706,0.5222,0.2511,0.2663
707,0.5224,0.2518,0.2671
708,0.5226,0.2524,0.2678
709,0.5228,0.2531,0.2685
710,0.523,0.2538,0.2692
711,0.5228,0.2544,0.2699
712,0.5226,0.255,0.2705
713,0.5224,0.2556,0.2712
714,0.5222,0.2562,0.2718
715,0.522,0.2568,0.2725
716,0.5218,0.2574,0.2732
717,0.5216,0.258,0.2738
718,0.5214,0.2587,0.2745
719,0.5212,0.2593,0.2752
720,0.521,0.2599,0.2759
721,0.521,0.2607,0.2767
722,0.521,0.2615,0.2775
723,0.521,0.2623,0.2784
724,0.521,0.2631,0.2792
725,0.521,0.2639,0.2801
726,0.5212,0.2647,0.2809
727,0.5214,0.2655,0.2817
728,0.5216,0.2663,0.2826
729,0.5218,0.2671,0.2834
730,0.522,0.2679,0.2843
731,0.5218,0.2689,0.2853
732,0.5216,0.2698,0.2863
733,0.5214,0.2708,0.2873
734,0.5212,0.2718,0.2883
735,0.521,0.2727,0.2893
736,0.521,0.2739,0.2905
737,0.521,0.275,0.2916
738,0.521,0.2761,0.2927
739,0.521,0.2772,0.2939
740,0.521,0.2783,0.295
741,0.52,0.2793,0.296
742,0.519,0.2803,0.297
743,0.518,0.2813,0.298
744,0.517,0.2822,0.299
745,0.516,0.2832,0.3
746,0.5156,0.2846,0.3014
747,0.5152,0.286,0.3028
748,0.5148,0.2873,0.3042
749,0.5144,0.2887,0.3056
750,0.514,0.2901,0.3071
751,0.514,0.2918,0.3088
752,0.514,0.2935,0.3105
753,0.514,0.2952,0.3122
754,0.514,0.2968,0.3139
755,0.514,0.2985,0.3156
756,0.5146,0.3004,0.3175
757,0.5152,0.3022,0.3194
758,0.5158,0.3041,0.3213
759,0.5164,0.3059,0.3232
760,0.517,0.3078,0.3251
761,0.5166,0.3089,0.3262
762,0.5162,0.31,0.3273
763,0.5158,0.311,0.3284
764,0.5154,0.3121,0.3295
765,0.515,0.3132,0.3306
766,0.512,0.3128,0.3302
767,0.509,0.3124,0.3298
768,0.506,0.3121,0.3294
769,0.503,0.3117,0.329
770,0.5,0.3113,0.3286
771,0.4982,0.3114,0.3286
772,0.4964,0.3115,0.3287
773,0.4946,0.3116,0.3287
774,0.4928,0.3117,0.3288
775,0.491,0.3118,0.3289
776,0.4902,0.3124,0.3295
777,0.4894,0.313,0.3301
778,0.4886,0.3135,0.3307
779,0.4878,0.3141,0.3313
780,0.487,0.3147,0.3319
