"強度
\
波段",Purple,,
,,Algorithm,Regression
572,0.0536,0.0314,0.0272
573,0.0534,0.0316,0.0275
574,0.0532,0.0318,0.0278
575,0.053,0.032,0.0282
576,0.0528,0.0324,0.0286
577,0.0526,0.0328,0.0291
578,0.0524,0.0332,0.0295
579,0.0522,0.0336,0.03
580,0.052,0.034,0.0304
581,0.052,0.0346,0.031
582,0.052,0.0353,0.0316
583,0.052,0.0359,0.0321
584,0.052,0.0365,0.0327
585,0.052,0.0371,0.0333
586,0.0522,0.0379,0.0339
587,0.0524,0.0386,0.0346
588,0.0526,0.0394,0.0352
589,0.0528,0.0401,0.0358
590,0.053,0.0409,0.0365
591,0.0534,0.0417,0.0371
592,0.0538,0.0425,0.0378
593,0.0542,0.0433,0.0384
594,0.0546,0.0441,0.0391
595,0.055,0.045,0.0397
596,0.0558,0.0459,0.0404
597,0.0566,0.0468,0.0411
598,0.0574,0.0477,0.0418
599,0.0582,0.0486,0.0425
600,0.059,0.0494,0.0432
601,0.0602,0.0505,0.044
602,0.0614,0.0515,0.0447
603,0.0626,0.0525,0.0455
604,0.0638,0.0535,0.0463
605,0.065,0.0545,0.047
606,0.0668,0.0556,0.0478
607,0.0686,0.0567,0.0486
608,0.0704,0.0578,0.0494
609,0.0722,0.0589,0.0502
610,0.074,0.06,0.051
611,0.0764,0.0611,0.0518
612,0.0788,0.0622,0.0526
613,0.0812,0.0633,0.0534
614,0.0836,0.0644,0.0542
615,0.086,0.0655,0.055
616,0.0886,0.0665,0.0557
617,0.0912,0.0674,0.0564
618,0.0938,0.0684,0.0571
619,0.0964,0.0694,0.0578
620,0.099,0.0704,0.0585
621,0.1018,0.0714,0.0591
622,0.1046,0.0723,0.0597
623,0.1074,0.0732,0.0604
624,0.1102,0.0741,0.061
625,0.113,0.0751,0.0616
626,0.1156,0.0759,0.0622
627,0.1182,0.0767,0.0628
628,0.1208,0.0775,0.0633
629,0.1234,0.0783,0.0639
630,0.126,0.079,0.0644
631,0.1284,0.0797,0.0649
632,0.1308,0.0803,0.0653
633,0.1332,0.0809,0.0658
634,0.1356,0.0815,0.0662
635,0.138,0.0821,0.0667
636,0.1402,0.0827,0.0671
637,0.1424,0.0833,0.0675
638,0.1446,0.0839,0.0679
639,0.1468,0.0844,0.0684
640,0.149,0.085,0.0688
641,0.1514,0.0856,0.0692
642,0.1538,0.0862,0.0696
643,0.1562,0.0867,0.0701
644,0.1586,0.0873,0.0705
645,0.161,0.0879,0.0709
646,0.1632,0.0884,0.0713
647,0.1654,0.0889,0.0717
648,0.1676,0.0894,0.0721
649,0.1698,0.0899,0.0724
650,0.172,0.0904,0.0728
651,0.174,0.0909,0.0732
652,0.176,0.0914,0.0735
653,0.178,0.0919,0.0739
654,0.18,0.0923,0.0742
655,0.182,0.0928,0.0746
656,0.1842,0.0932,0.0749
657,0.1864,0.0936,0.0752
658,0.1886,0.094,0.0754
659,0.1908,0.0944,0.0757
660,0.193,0.0948,0.076
661,0.1954,0.0952,0.0762
662,0.1978,0.0956,0.0765
663,0.2002,0.096,0.0767
664,0.2026,0.0964,0.0769
665,0.205,0.0967,0.0772
666,0.2074,0.0971,0.0773
667,0.2098,0.0974,0.0775
668,0.2122,0.0977,0.0777
669,0.2146,0.0981,0.0779
670,0.217,0.0984,0.0781
671,0.22,0.0988,0.0782
672,0.223,0.0991,0.0784
673,0.226,0.0994,0.0785
674,0.229,0.0997,0.0786
675,0.232,0.1001,0.0788
676,0.2352,0.1004,0.0789
677,0.2384,0.1008,0.079
678,0.2416,0.1011,0.0791
679,0.2448,0.1015,0.0792
680,0.248,0.1018,0.0793
681,0.2516,0.1021,0.0793
682,0.2552,0.1025,0.0794
683,0.2588,0.1028,0.0794
684,0.2624,0.1032,0.0795
685,0.266,0.1035,0.0795
686,0.2692,0.1039,0.0796
687,0.2724,0.1042,0.0796
688,0.2756,0.1046,0.0796
689,0.2788,0.105,0.0797
690,0.282,0.1053,0.0797
691,0.2858,0.1058,0.0797
692,0.2896,0.1062,0.0797
693,0.2934,0.1066,0.0797
694,0.2972,0.1071,0.0798
695,0.301,0.1075,0.0798
696,0.3046,0.1079,0.0798
697,0.3082,0.1084,0.0798
698,0.3118,0.1088,0.0798
699,0.3154,0.1093,0.0799
700,0.319,0.1097,0.0799
701,0.3228,0.1102,0.0799
702,0.3266,0.1106,0.08
703,0.3304,0.1111,0.08
704,0.3342,0.1115,0.0801
705,0.338,0.112,0.0801
706,0.3414,0.1123,0.0802
707,0.3448,0.1127,0.0802
708,0.3482,0.113,0.0803
709,0.3516,0.1134,0.0803
710,0.355,0.1138,0.0803
711,0.3582,0.1141,0.0805
712,0.3614,0.1145,0.0806
713,0.3646,0.1148,0.0807
714,0.3678,0.1152,0.0808
715,0.371,0.1155,0.0809
716,0.3744,0.1159,0.0811
717,0.3778,0.1162,0.0813
718,0.3812,0.1166,0.0814
719,0.3846,0.117,0.0816
720,0.388,0.1173,0.0817
721,0.3916,0.1178,0.082
722,0.3952,0.1183,0.0823
723,0.3988,0.1188,0.0826
724,0.4024,0.1192,0.0829
725,0.406,0.1197,0.0831
726,0.4092,0.1202,0.0834
727,0.4124,0.1206,0.0837
728,0.4156,0.121,0.084
729,0.4188,0.1215,0.0843
730,0.422,0.1219,0.0846
731,0.4248,0.1225,0.085
732,0.4276,0.123,0.0854
733,0.4304,0.1236,0.0857
734,0.4332,0.1241,0.0861
735,0.436,0.1247,0.0865
736,0.439,0.1253,0.087
737,0.442,0.1259,0.0874
738,0.445,0.1265,0.0879
739,0.448,0.1271,0.0884
740,0.451,0.1277,0.0888
741,0.4528,0.1283,0.0893
742,0.4546,0.1288,0.0898
743,0.4564,0.1294,0.0903
744,0.4582,0.1299,0.0908
745,0.46,0.1305,0.0913
746,0.4622,0.1313,0.0919
747,0.4644,0.132,0.0925
748,0.4666,0.1328,0.0932
749,0.4688,0.1336,0.0938
750,0.471,0.1344,0.0944
751,0.473,0.1353,0.0952
752,0.475,0.1363,0.096
753,0.477,0.1372,0.0968
754,0.479,0.1382,0.0976
755,0.481,0.1391,0.0985
756,0.4832,0.1402,0.0993
757,0.4854,0.1412,0.1002
758,0.4876,0.1423,0.1011
759,0.4898,0.1433,0.102
760,0.492,0.1444,0.1028
761,0.4926,0.145,0.1034
762,0.4932,0.1456,0.104
763,0.4938,0.1462,0.1045
764,0.4944,0.1469,0.1051
765,0.495,0.1475,0.1056
766,0.4924,0.1473,0.1056
767,0.4898,0.1471,0.1056
768,0.4872,0.1468,0.1056
769,0.4846,0.1466,0.1055
770,0.482,0.1464,0.1055
771,0.4798,0.1464,0.1057
772,0.4776,0.1464,0.1059
773,0.4754,0.1464,0.106
774,0.4732,0.1465,0.1062
775,0.471,0.1465,0.1064
776,0.4702,0.1468,0.1067
777,0.4694,0.147,0.107
778,0.4686,0.1473,0.1073
779,0.4678,0.1476,0.1076
780,0.467,0.1479,0.1079
