"強度
\
波段",Orange yellow,,
,,Algorithm,Regression
573,0.5636,0.2996,0.2896
574,0.5668,0.3016,0.2917
575,0.57,0.3036,0.2937
576,0.5728,0.3061,0.2965
577,0.5756,0.3086,0.2993
578,0.5784,0.3112,0.302
579,0.5812,0.3137,0.3048
580,0.584,0.3162,0.3076
581,0.5868,0.3195,0.3112
582,0.5896,0.3228,0.3148
583,0.5924,0.3261,0.3184
584,0.5952,0.3294,0.3221
585,0.598,0.3327,0.3257
586,0.6002,0.3364,0.3298
587,0.6024,0.3401,0.3339
588,0.6046,0.3438,0.338
589,0.6068,0.3475,0.3421
590,0.609,0.3512,0.3462
591,0.6106,0.3551,0.3505
592,0.6122,0.3589,0.3548
593,0.6138,0.3628,0.3591
594,0.6154,0.3667,0.3634
595,0.617,0.3705,0.3677
596,0.6184,0.3747,0.3722
597,0.6198,0.3788,0.3768
598,0.6212,0.3829,0.3813
599,0.6226,0.387,0.3859
600,0.624,0.3911,0.3904
601,0.6252,0.3956,0.3953
602,0.6264,0.4,0.4001
603,0.6276,0.4045,0.405
604,0.6288,0.4089,0.4098
605,0.63,0.4133,0.4147
606,0.631,0.4179,0.4196
607,0.632,0.4224,0.4245
608,0.633,0.427,0.4294
609,0.634,0.4316,0.4343
610,0.635,0.4361,0.4392
611,0.636,0.4406,0.4439
612,0.637,0.445,0.4487
613,0.638,0.4495,0.4534
614,0.639,0.454,0.4582
615,0.64,0.4584,0.4629
616,0.641,0.4624,0.4672
617,0.642,0.4665,0.4714
618,0.643,0.4705,0.4757
619,0.644,0.4745,0.4799
620,0.645,0.4786,0.4842
621,0.646,0.4822,0.488
622,0.647,0.4858,0.4918
623,0.648,0.4895,0.4956
624,0.649,0.4931,0.4995
625,0.65,0.4967,0.5033
626,0.6508,0.4995,0.5063
627,0.6516,0.5023,0.5092
628,0.6524,0.5051,0.5122
629,0.6532,0.5079,0.5151
630,0.654,0.5107,0.5181
631,0.6548,0.5127,0.5203
632,0.6556,0.5148,0.5225
633,0.6564,0.5168,0.5247
634,0.6572,0.5188,0.5268
635,0.658,0.5209,0.529
636,0.6588,0.5223,0.5307
637,0.6596,0.5238,0.5323
638,0.6604,0.5253,0.534
639,0.6612,0.5268,0.5356
640,0.662,0.5283,0.5373
641,0.663,0.5297,0.5389
642,0.664,0.5311,0.5405
643,0.665,0.5325,0.5421
644,0.666,0.5339,0.5437
645,0.667,0.5353,0.5453
646,0.668,0.5364,0.5467
647,0.669,0.5376,0.5481
648,0.67,0.5388,0.5495
649,0.671,0.54,0.5509
650,0.672,0.5412,0.5523
651,0.6726,0.5419,0.5532
652,0.6732,0.5426,0.5541
653,0.6738,0.5433,0.555
654,0.6744,0.544,0.5559
655,0.675,0.5446,0.5568
656,0.6752,0.5452,0.5575
657,0.6754,0.5457,0.5582
658,0.6756,0.5462,0.5589
659,0.6758,0.5467,0.5596
660,0.676,0.5472,0.5603
661,0.6762,0.5477,0.5611
662,0.6764,0.5482,0.5618
663,0.6766,0.5488,0.5626
664,0.6768,0.5493,0.5633
665,0.677,0.5498,0.5641
666,0.6772,0.5504,0.5649
667,0.6774,0.551,0.5657
668,0.6776,0.5516,0.5665
669,0.6778,0.5523,0.5673
670,0.678,0.5529,0.568
671,0.6786,0.5539,0.5692
672,0.6792,0.5549,0.5704
673,0.6798,0.5559,0.5716
674,0.6804,0.557,0.5728
675,0.681,0.558,0.574
676,0.6818,0.5593,0.5755
677,0.6826,0.5607,0.577
678,0.6834,0.5621,0.5786
679,0.6842,0.5634,0.5801
680,0.685,0.5648,0.5816
681,0.6856,0.5661,0.5829
682,0.6862,0.5674,0.5843
683,0.6868,0.5687,0.5857
684,0.6874,0.57,0.5871
685,0.688,0.5712,0.5884
686,0.6884,0.5726,0.5899
687,0.6888,0.574,0.5913
688,0.6892,0.5754,0.5927
689,0.6896,0.5768,0.5942
690,0.69,0.5782,0.5956
691,0.6906,0.5799,0.5972
692,0.6912,0.5815,0.5989
693,0.6918,0.5831,0.6005
694,0.6924,0.5848,0.6021
695,0.693,0.5864,0.6038
696,0.6936,0.588,0.6053
697,0.6942,0.5896,0.6069
698,0.6948,0.5912,0.6085
699,0.6954,0.5928,0.61
700,0.696,0.5944,0.6116
701,0.6964,0.5957,0.6129
702,0.6968,0.5971,0.6142
703,0.6972,0.5984,0.6155
704,0.6976,0.5997,0.6168
705,0.698,0.6011,0.618
706,0.698,0.6021,0.6191
707,0.698,0.6032,0.6201
708,0.698,0.6043,0.6212
709,0.698,0.6053,0.6222
710,0.698,0.6064,0.6233
711,0.698,0.607,0.6238
712,0.698,0.6076,0.6243
713,0.698,0.6082,0.6248
714,0.698,0.6088,0.6253
715,0.698,0.6094,0.6259
716,0.698,0.6098,0.6262
717,0.698,0.6103,0.6266
718,0.698,0.6108,0.627
719,0.698,0.6113,0.6274
720,0.698,0.6117,0.6278
721,0.6984,0.6126,0.6286
722,0.6988,0.6136,0.6295
723,0.6992,0.6145,0.6303
724,0.6996,0.6154,0.6311
725,0.7,0.6163,0.632
726,0.7002,0.6169,0.6325
727,0.7004,0.6176,0.6331
728,0.7006,0.6182,0.6336
729,0.7008,0.6188,0.6342
730,0.701,0.6194,0.6347
731,0.701,0.62,0.6351
732,0.701,0.6205,0.6354
733,0.701,0.621,0.6358
734,0.701,0.6215,0.6362
735,0.701,0.622,0.6366
736,0.701,0.6223,0.6367
737,0.701,0.6226,0.6368
738,0.701,0.6229,0.6369
739,0.701,0.6232,0.637
740,0.701,0.6234,0.6371
741,0.6998,0.6229,0.6363
742,0.6986,0.6223,0.6354
743,0.6974,0.6218,0.6346
744,0.6962,0.6212,0.6338
745,0.695,0.6206,0.6329
746,0.6948,0.6208,0.6328
747,0.6946,0.6209,0.6327
748,0.6944,0.6211,0.6325
749,0.6942,0.6212,0.6324
750,0.694,0.6213,0.6323
751,0.6944,0.622,0.6327
752,0.6948,0.6227,0.6331
753,0.6952,0.6233,0.6335
754,0.6956,0.624,0.6339
755,0.696,0.6247,0.6343
756,0.6968,0.6256,0.6349
757,0.6976,0.6264,0.6355
758,0.6984,0.6273,0.6361
759,0.6992,0.6282,0.6367
760,0.7,0.6291,0.6373
761,0.6996,0.6288,0.6368
762,0.6992,0.6286,0.6363
763,0.6988,0.6283,0.6358
764,0.6984,0.628,0.6353
765,0.698,0.6278,0.6348
766,0.693,0.6232,0.6298
767,0.688,0.6186,0.6248
768,0.683,0.6139,0.6198
769,0.678,0.6093,0.6149
770,0.673,0.6047,0.6099
771,0.669,0.6008,0.6056
772,0.665,0.5969,0.6014
773,0.661,0.5929,0.5972
774,0.657,0.589,0.5929
775,0.653,0.5851,0.5887
776,0.6502,0.5823,0.5856
777,0.6474,0.5795,0.5826
778,0.6446,0.5767,0.5796
779,0.6418,0.574,0.5765
780,0.639,0.5712,0.5735
