"強度
\
波段",Green,,
,,Algorithm,Regression
572,0.2296,0.1263,0.1258
573,0.2254,0.1247,0.1242
574,0.2212,0.123,0.1227
575,0.217,0.1214,0.1211
576,0.2128,0.1196,0.1194
577,0.2086,0.1178,0.1177
578,0.2044,0.116,0.116
579,0.2002,0.1142,0.1143
580,0.196,0.1124,0.1126
581,0.1922,0.1106,0.111
582,0.1884,0.1089,0.1094
583,0.1846,0.1072,0.1078
584,0.1808,0.1055,0.1062
585,0.177,0.1037,0.1046
586,0.1732,0.1019,0.1029
587,0.1694,0.1,0.1011
588,0.1656,0.0981,0.0994
589,0.1618,0.0963,0.0977
590,0.158,0.0944,0.0959
591,0.1544,0.0924,0.0941
592,0.1508,0.0904,0.0922
593,0.1472,0.0884,0.0903
594,0.1436,0.0863,0.0885
595,0.14,0.0843,0.0866
596,0.1368,0.0824,0.0848
597,0.1336,0.0804,0.0829
598,0.1304,0.0785,0.0811
599,0.1272,0.0765,0.0793
600,0.124,0.0746,0.0774
601,0.1214,0.0728,0.0758
602,0.1188,0.0711,0.0741
603,0.1162,0.0693,0.0725
604,0.1136,0.0676,0.0709
605,0.111,0.0658,0.0692
606,0.109,0.0643,0.0678
607,0.107,0.0628,0.0664
608,0.105,0.0613,0.065
609,0.103,0.0598,0.0636
610,0.101,0.0583,0.0622
611,0.0996,0.0569,0.061
612,0.0982,0.0556,0.0598
613,0.0968,0.0543,0.0586
614,0.0954,0.053,0.0573
615,0.094,0.0517,0.0561
616,0.093,0.0507,0.0552
617,0.092,0.0497,0.0544
618,0.091,0.0487,0.0535
619,0.09,0.0478,0.0526
620,0.089,0.0468,0.0517
621,0.0884,0.0461,0.0511
622,0.0878,0.0454,0.0506
623,0.0872,0.0447,0.05
624,0.0866,0.044,0.0494
625,0.086,0.0433,0.0488
626,0.0856,0.0428,0.0484
627,0.0852,0.0423,0.048
628,0.0848,0.0418,0.0476
629,0.0844,0.0412,0.0471
630,0.084,0.0407,0.0467
631,0.0836,0.0403,0.0464
632,0.0832,0.0399,0.0461
633,0.0828,0.0395,0.0458
634,0.0824,0.039,0.0455
635,0.082,0.0386,0.0452
636,0.0816,0.0384,0.045
637,0.0812,0.0381,0.0449
638,0.0808,0.0379,0.0447
639,0.0804,0.0376,0.0446
640,0.08,0.0374,0.0445
641,0.0796,0.0372,0.0444
642,0.0792,0.0371,0.0444
643,0.0788,0.037,0.0444
644,0.0784,0.0368,0.0444
645,0.078,0.0367,0.0444
646,0.0778,0.0367,0.0445
647,0.0776,0.0367,0.0446
648,0.0774,0.0367,0.0447
649,0.0772,0.0366,0.0448
650,0.077,0.0366,0.0449
651,0.0768,0.0368,0.0451
652,0.0766,0.0369,0.0454
653,0.0764,0.0371,0.0457
654,0.0762,0.0372,0.046
655,0.076,0.0374,0.0462
656,0.0758,0.0377,0.0466
657,0.0756,0.038,0.047
658,0.0754,0.0383,0.0474
659,0.0752,0.0386,0.0478
660,0.075,0.0388,0.0482
661,0.075,0.0393,0.0488
662,0.075,0.0398,0.0493
663,0.075,0.0402,0.0499
664,0.075,0.0407,0.0505
665,0.075,0.0412,0.0511
666,0.075,0.0417,0.0517
