"強度
\
波段",Cyan,,
,,Algorithm,Regression
573,0.108,0.0396,0.0383
574,0.106,0.0384,0.0369
575,0.104,0.0372,0.0355
576,0.1026,0.0358,0.0339
577,0.1012,0.0344,0.0323
578,0.0998,0.033,0.0307
579,0.0984,0.0316,0.0291
580,0.097,0.0302,0.0276
581,0.096,0.0286,0.0259
582,0.095,0.027,0.0243
583,0.094,0.0255,0.0227
584,0.093,0.0239,0.0211
585,0.092,0.0223,0.0195
586,0.0912,0.0205,0.0176
587,0.0904,0.0186,0.0158
588,0.0896,0.0167,0.014
589,0.0888,0.0148,0.0122
590,0.088,0.013,0.0104
591,0.087,0.0109,0.0084
592,0.086,0.0088,0.0064
593,0.085,0.0067,0.0044
594,0.084,0.0046,0.0025
595,0.083,0.0025,0.0005
596,0.0824,0.0004,-0.0015
597,0.0818,-0.0018,-0.0034
598,0.0812,-0.004,-0.0054
599,0.0806,-0.0061,-0.0074
600,0.08,-0.0083,-0.0093
601,0.0794,-0.0103,-0.0112
602,0.0788,-0.0124,-0.013
603,0.0782,-0.0145,-0.0148
604,0.0776,-0.0165,-0.0167
605,0.077,-0.0186,-0.0185
606,0.0766,-0.0205,-0.0201
607,0.0762,-0.0223,-0.0217
608,0.0758,-0.0242,-0.0233
609,0.0754,-0.026,-0.025
610,0.075,-0.0279,-0.0266
611,0.0748,-0.0296,-0.028
612,0.0746,-0.0313,-0.0295
613,0.0744,-0.033,-0.0309
614,0.0742,-0.0347,-0.0324
615,0.074,-0.0364,-0.0338
616,0.0738,-0.0378,-0.035
617,0.0736,-0.0392,-0.0362
618,0.0734,-0.0406,-0.0373
619,0.0732,-0.042,-0.0385
620,0.073,-0.0434,-0.0397
621,0.073,-0.0445,-0.0406
622,0.073,-0.0456,-0.0415
623,0.073,-0.0467,-0.0424
624,0.073,-0.0479,-0.0433
625,0.073,-0.049,-0.0442
626,0.073,-0.0496,-0.0447
627,0.073,-0.0503,-0.0452
628,0.073,-0.051,-0.0458
629,0.073,-0.0516,-0.0463
630,0.073,-0.0523,-0.0468
631,0.073,-0.0527,-0.0472
632,0.073,-0.0532,-0.0475
633,0.073,-0.0536,-0.0479
634,0.073,-0.0541,-0.0482
635,0.073,-0.0545,-0.0486
636,0.073,-0.0546,-0.0486
637,0.073,-0.0546,-0.0486
638,0.073,-0.0547,-0.0486
639,0.073,-0.0548,-0.0486
640,0.073,-0.0548,-0.0486
641,0.073,-0.0548,-0.0485
642,0.073,-0.0547,-0.0484
643,0.073,-0.0546,-0.0483
644,0.073,-0.0546,-0.0481
645,0.073,-0.0545,-0.048
646,0.0732,-0.0543,-0.0478
647,0.0734,-0.0541,-0.0476
648,0.0736,-0.0539,-0.0473
649,0.0738,-0.0538,-0.0471
650,0.074,-0.0536,-0.0469
651,0.0742,-0.0531,-0.0464
652,0.0744,-0.0526,-0.0459
653,0.0746,-0.0522,-0.0453
654,0.0748,-0.0517,-0.0448
655,0.075,-0.0512,-0.0443
656,0.0752,-0.0507,-0.0437
657,0.0754,-0.0502,-0.0432
658,0.0756,-0.0497,-0.0426
659,0.0758,-0.0493,-0.0421
660,0.076,-0.0488,-0.0415
661,0.076,-0.0483,-0.0409
662,0.076,-0.0478,-0.0404
663,0.076,-0.0473,-0.0398
664,0.076,-0.0468,-0.0392
665,0.076,-0.0464,-0.0386
666,0.0762,-0.0459,-0.0381
667,0.0764,-0.0455,-0.0375
668,0.0766,-0.0451,-0.037
669,0.0768,-0.0446,-0.0364
670,0.077,-0.0442,-0.0359
