"強度
\
波段",Neutral 5,,
,,Algorithm,Regression
577,0.2044,0.0902,0.0944
578,0.2046,0.09,0.0942
579,0.2048,0.0897,0.0939
580,0.205,0.0894,0.0937
581,0.205,0.0894,0.0936
582,0.205,0.0894,0.0936
583,0.205,0.0895,0.0935
584,0.205,0.0895,0.0935
585,0.205,0.0895,0.0934
586,0.205,0.0896,0.0933
587,0.205,0.0897,0.0933
588,0.205,0.0898,0.0933
589,0.205,0.0899,0.0932
590,0.205,0.09,0.0932
591,0.205,0.0901,0.0931
592,0.205,0.0903,0.0931
593,0.205,0.0904,0.093
594,0.205,0.0905,0.0929
595,0.205,0.0906,0.0929
596,0.2048,0.0909,0.0929
597,0.2046,0.0911,0.0929
598,0.2044,0.0913,0.093
599,0.2042,0.0916,0.093
600,0.204,0.0918,0.093
601,0.204,0.0923,0.0932
602,0.204,0.0927,0.0933
603,0.204,0.0931,0.0935
604,0.204,0.0935,0.0937
605,0.204,0.094,0.0939
606,0.204,0.0946,0.0942
607,0.204,0.0952,0.0945
608,0.204,0.0958,0.0948
609,0.204,0.0964,0.0952
610,0.204,0.097,0.0955
611,0.2038,0.0977,0.0959
612,0.2036,0.0983,0.0963
613,0.2034,0.099,0.0966
614,0.2032,0.0997,0.097
615,0.203,0.1003,0.0974
616,0.203,0.101,0.0978
617,0.203,0.1017,0.0983
618,0.203,0.1024,0.0987
619,0.203,0.1031,0.0991
620,0.203,0.1038,0.0995
621,0.2028,0.1045,0.1
622,0.2026,0.1052,0.1004
623,0.2024,0.1059,0.1009
624,0.2022,0.1066,0.1013
625,0.202,0.1073,0.1018
626,0.2018,0.108,0.1022
627,0.2016,0.1086,0.1026
628,0.2014,0.1092,0.103
629,0.2012,0.1098,0.1034
630,0.201,0.1105,0.1038
631,0.201,0.1109,0.1041
632,0.201,0.1114,0.1044
633,0.201,0.1119,0.1047
634,0.201,0.1123,0.105
635,0.201,0.1128,0.1053
636,0.2008,0.1133,0.1056
637,0.2006,0.1137,0.1059
638,0.2004,0.1142,0.1063
639,0.2002,0.1147,0.1066
640,0.2,0.1152,0.1069
641,0.1998,0.1157,0.1072
642,0.1996,0.1162,0.1076
643,0.1994,0.1167,0.1079
644,0.1992,0.1172,0.1083
645,0.199,0.1177,0.1086
646,0.1988,0.1182,0.1089
647,0.1986,0.1187,0.1093
648,0.1984,0.1192,0.1096
649,0.1982,0.1197,0.11
650,0.198,0.1202,0.1103
651,0.198,0.1207,0.1106
652,0.198,0.1212,0.111
653,0.198,0.1218,0.1114
654,0.198,0.1223,0.1117
655,0.198,0.1228,0.1121
656,0.1978,0.1233,0.1124
657,0.1976,0.1238,0.1127
658,0.1974,0.1243,0.1131
659,0.1972,0.1248,0.1134
660,0.197,0.1253,0.1137
661,0.197,0.1258,0.1141
662,0.197,0.1264,0.1145
663,0.197,0.1269,0.1148
664,0.197,0.1275,0.1152
665,0.197,0.128,0.1155
666,0.1968,0.1286,0.1159
667,0.1966,0.1291,0.1163
668,0.1964,0.1297,0.1166
669,0.1962,0.1302,0.117
670,0.196,0.1308,0.1174
671,0.1958,0.1314,0.1178
672,0.1956,0.1321,0.1182
673,0.1954,0.1327,0.1186
674,0.1952,0.1334,0.1191
675,0.195,0.134,0.1195
676,0.195,0.1348,0.12
677,0.195,0.1355,0.1204
678,0.195,0.1362,0.1209
679,0.195,0.1369,0.1214
680,0.195,0.1377,0.1218
681,0.1948,0.1385,0.1223
682,0.1946,0.1392,0.1229
683,0.1944,0.14,0.1234
684,0.1942,0.1408,0.1239
685,0.194,0.1416,0.1244
686,0.194,0.1424,0.1249
687,0.194,0.1433,0.1255
688,0.194,0.1441,0.126
689,0.194,0.1449,0.1265
690,0.194,0.1458,0.1271
691,0.1938,0.1468,0.1277
692,0.1936,0.1478,0.1284
693,0.1934,0.1488,0.129
694,0.1932,0.1499,0.1297
695,0.193,0.1509,0.1304
696,0.1928,0.1519,0.131
697,0.1926,0.1529,0.1316
698,0.1924,0.1539,0.1323
699,0.1922,0.1549,0.1329
700,0.192,0.1559,0.1336
701,0.192,0.1568,0.1342
702,0.192,0.1577,0.1348
703,0.192,0.1587,0.1354
704,0.192,0.1596,0.136
705,0.192,0.1606,0.1366
706,0.1918,0.1613,0.1371
707,0.1916,0.162,0.1375
