"強度
\
波段",Purplish blue,,
,,Algorithm,Regression
572,0.083,0.0355,0.05
573,0.083,0.0355,0.05
574,0.083,0.0355,0.05
575,0.083,0.0354,0.05
576,0.083,0.0356,0.0501
577,0.083,0.0357,0.0502
578,0.083,0.0358,0.0504
579,0.083,0.0359,0.0505
580,0.083,0.0361,0.0506
581,0.0834,0.0364,0.0509
582,0.0838,0.0367,0.0512
583,0.0842,0.0371,0.0515
584,0.0846,0.0374,0.0518
585,0.085,0.0377,0.0521
586,0.0852,0.0381,0.0524
587,0.0854,0.0384,0.0528
588,0.0856,0.0388,0.0531
589,0.0858,0.0391,0.0534
590,0.086,0.0395,0.0538
591,0.0862,0.0398,0.0541
592,0.0864,0.0402,0.0544
593,0.0866,0.0405,0.0547
594,0.0868,0.0408,0.055
595,0.087,0.0412,0.0554
596,0.087,0.0415,0.0557
597,0.087,0.0419,0.0561
598,0.087,0.0422,0.0564
599,0.087,0.0426,0.0568
600,0.087,0.0429,0.0571
601,0.0868,0.0434,0.0576
602,0.0866,0.0438,0.058
603,0.0864,0.0443,0.0585
604,0.0862,0.0447,0.0589
605,0.086,0.0452,0.0594
606,0.0858,0.0458,0.0599
607,0.0856,0.0463,0.0605
608,0.0854,0.0469,0.061
609,0.0852,0.0475,0.0616
610,0.085,0.0481,0.0622
611,0.0848,0.0486,0.0627
612,0.0846,0.0492,0.0633
613,0.0844,0.0498,0.0638
614,0.0842,0.0503,0.0644
615,0.084,0.0509,0.0649
616,0.084,0.0514,0.0654
617,0.084,0.052,0.0659
618,0.084,0.0525,0.0664
619,0.084,0.053,0.0669
620,0.084,0.0535,0.0674
621,0.0842,0.0541,0.0679
622,0.0844,0.0547,0.0685
623,0.0846,0.0553,0.069
624,0.0848,0.0559,0.0695
625,0.085,0.0564,0.07
626,0.0856,0.0571,0.0706
627,0.0862,0.0578,0.0712
628,0.0868,0.0584,0.0718
629,0.0874,0.0591,0.0724
630,0.088,0.0597,0.073
631,0.0888,0.0603,0.0735
632,0.0896,0.0609,0.074
633,0.0904,0.0615,0.0745
634,0.0912,0.0621,0.075
635,0.092,0.0627,0.0755
636,0.0932,0.0634,0.0762
637,0.0944,0.0642,0.0768
638,0.0956,0.065,0.0775
639,0.0968,0.0657,0.0781
640,0.098,0.0665,0.0788
641,0.0994,0.0673,0.0795
642,0.1008,0.0681,0.0802
643,0.1022,0.069,0.0809
644,0.1036,0.0698,0.0816
645,0.105,0.0706,0.0823
646,0.1062,0.0714,0.083
647,0.1074,0.0723,0.0837
648,0.1086,0.0731,0.0844
649,0.1098,0.0739,0.0851
650,0.111,0.0747,0.0858
651,0.1124,0.0757,0.0866
652,0.1138,0.0766,0.0874
653,0.1152,0.0776,0.0882
654,0.1166,0.0785,0.089
655,0.118,0.0794,0.0898
656,0.119,0.0803,0.0905
657,0.12,0.0811,0.0912
658,0.121,0.0819,0.0919
659,0.122,0.0828,0.0926
660,0.123,0.0836,0.0932
661,0.1236,0.0844,0.0939
662,0.1242,0.0851,0.0945
663,0.1248,0.0859,0.0951
664,0.1254,0.0867,0.0957
665,0.126,0.0874,0.0964
666,0.126,0.0881,0.0969
667,0.126,0.0887,0.0974
668,0.126,0.0893,0.0979
669,0.126,0.09,0.0984
