"強度
\
波段",White,,
,,Algorithm,Regression
576,0.8878,0.8174,0.8344
577,0.8876,0.8165,0.8344
578,0.8874,0.8157,0.8343
579,0.8872,0.8149,0.8343
580,0.887,0.814,0.8343
581,0.8868,0.8136,0.8336
582,0.8866,0.8132,0.8329
583,0.8864,0.8128,0.8322
584,0.8862,0.8123,0.8315
585,0.886,0.8119,0.8308
586,0.886,0.8123,0.8297
587,0.886,0.8126,0.8286
588,0.886,0.813,0.8276
589,0.886,0.8133,0.8265
590,0.886,0.8137,0.8254
591,0.886,0.8145,0.8241
592,0.886,0.8153,0.8227
593,0.886,0.8161,0.8213
594,0.886,0.8168,0.8199
595,0.886,0.8176,0.8185
596,0.8862,0.8191,0.8171
597,0.8864,0.8206,0.8157
598,0.8866,0.8221,0.8144
599,0.8868,0.8236,0.813
600,0.887,0.8251,0.8116
601,0.8872,0.8268,0.81
602,0.8874,0.8285,0.8084
603,0.8876,0.8302,0.8067
604,0.8878,0.8318,0.8051
605,0.888,0.8335,0.8035
606,0.8882,0.8355,0.8018
607,0.8884,0.8375,0.8001
608,0.8886,0.8394,0.7985
609,0.8888,0.8414,0.7968
610,0.889,0.8434,0.7951
611,0.8892,0.8456,0.7936
612,0.8894,0.8478,0.7921
613,0.8896,0.85,0.7907
614,0.8898,0.8522,0.7892
615,0.89,0.8544,0.7877
616,0.8902,0.8564,0.7862
617,0.8904,0.8583,0.7848
618,0.8906,0.8602,0.7833
619,0.8908,0.8622,0.7818
620,0.891,0.8641,0.7804
621,0.891,0.8656,0.7788
622,0.891,0.8671,0.7772
623,0.891,0.8685,0.7756
624,0.891,0.87,0.774
625,0.891,0.8715,0.7724
626,0.891,0.8726,0.7713
627,0.891,0.8736,0.7702
628,0.891,0.8747,0.7691
629,0.891,0.8758,0.768
630,0.891,0.8769,0.7669
631,0.891,0.8774,0.7659
632,0.891,0.8779,0.765
633,0.891,0.8785,0.764
634,0.891,0.879,0.7631
635,0.891,0.8795,0.7621
636,0.8908,0.8796,0.7613
637,0.8906,0.8797,0.7605
638,0.8904,0.8798,0.7597
639,0.8902,0.8799,0.7588
640,0.89,0.88,0.758
641,0.8898,0.8799,0.7572
642,0.8896,0.8797,0.7563
643,0.8894,0.8795,0.7555
644,0.8892,0.8794,0.7546
645,0.889,0.8792,0.7538
646,0.889,0.879,0.7532
647,0.889,0.8788,0.7525
648,0.889,0.8786,0.7519
649,0.889,0.8784,0.7512
650,0.889,0.8782,0.7506
651,0.889,0.8779,0.7499
652,0.889,0.8776,0.7493
653,0.889,0.8773,0.7487
654,0.889,0.877,0.7481
655,0.889,0.8767,0.7474
656,0.889,0.8763,0.7467
657,0.889,0.8759,0.7459
658,0.889,0.8755,0.7452
659,0.889,0.8751,0.7444
660,0.889,0.8748,0.7437
661,0.889,0.8743,0.7427
662,0.889,0.8739,0.7417
663,0.889,0.8735,0.7407
664,0.889,0.8731,0.7397
665,0.889,0.8726,0.7387
666,0.8888,0.8721,0.7376
667,0.8886,0.8715,0.7364
668,0.8884,0.871,0.7353
669,0.8882,0.8704,0.7341
670,0.888,0.8699,0.733
671,0.888,0.8696,0.7315
672,0.888,0.8693,0.7301
673,0.888,0.869,0.7286
674,0.888,0.8687,0.7272
675,0.888,0.8684,0.7257
676,0.888,0.8682,0.7239
677,0.888,0.8679,0.7222
678,0.888,0.8677,0.7204
679,0.888,0.8675,0.7186
680,0.888,0.8673,0.7168
681,0.888,0.8673,0.7148
682,0.888,0.8673,0.7128
683,0.888,0.8672,0.7108
684,0.888,0.8672,0.7087
685,0.888,0.8672,0.7067
686,0.888,0.8674,0.7046
687,0.888,0.8677,0.7026
688,0.888,0.8679,0.7005
689,0.888,0.8681,0.6984
690,0.888,0.8683,0.6963
691,0.888,0.8687,0.6937
692,0.888,0.869,0.6911
693,0.888,0.8693,0.6885
694,0.888,0.8696,0.6859
695,0.888,0.8699,0.6832
696,0.888,0.8704,0.6808
697,0.888,0.8708,0.6783
698,0.888,0.8712,0.6758
699,0.888,0.8716,0.6733
700,0.888,0.872,0.6708
701,0.8878,0.8722,0.6683
702,0.8876,0.8724,0.6658
703,0.8874,0.8726,0.6633
704,0.8872,0.8728,0.6608
705,0.887,0.873,0.6583
706,0.8868,0.8732,0.6562
707,0.8866,0.8733,0.6542
708,0.8864,0.8734,0.6522
709,0.8862,0.8736,0.6501
710,0.886,0.8737,0.6481
711,0.886,0.8739,0.6469
712,0.886,0.8741,0.6458
713,0.886,0.8743,0.6446
714,0.886,0.8745,0.6434
715,0.886,0.8747,0.6423
716,0.886,0.8748,0.6413
717,0.886,0.8748,0.6403
718,0.886,0.8749,0.6393
719,0.886,0.875,0.6383
720,0.886,0.8751,0.6373
721,0.8858,0.8748,0.6364
722,0.8856,0.8746,0.6356
723,0.8854,0.8743,0.6347
724,0.8852,0.874,0.6338
725,0.885,0.8737,0.633
726,0.885,0.8736,0.6325
727,0.885,0.8735,0.632
728,0.885,0.8734,0.6316
729,0.885,0.8732,0.6311
730,0.885,0.8731,0.6307
731,0.885,0.8729,0.6305
732,0.885,0.8726,0.6304
733,0.885,0.8724,0.6302
734,0.885,0.8722,0.6301
735,0.885,0.872,0.6299
736,0.8848,0.8717,0.63
737,0.8846,0.8714,0.6301
738,0.8844,0.8711,0.6303
739,0.8842,0.8707,0.6304
740,0.884,0.8704,0.6305
741,0.884,0.8704,0.6316
742,0.884,0.8704,0.6327
743,0.884,0.8704,0.6338
744,0.884,0.8704,0.635
745,0.884,0.8704,0.6361
746,0.8838,0.8701,0.6367
747,0.8836,0.8698,0.6374
748,0.8834,0.8694,0.638
749,0.8832,0.8691,0.6386
750,0.883,0.8688,0.6393
751,0.8828,0.8686,0.6403
752,0.8826,0.8684,0.6414
753,0.8824,0.8682,0.6425
754,0.8822,0.8681,0.6436
755,0.882,0.8679,0.6446
756,0.882,0.8678,0.6458
757,0.882,0.8677,0.6469
758,0.882,0.8676,0.648
759,0.882,0.8675,0.6491
760,0.882,0.8674,0.6503
761,0.8818,0.8673,0.6514
762,0.8816,0.8673,0.6525
763,0.8814,0.8672,0.6536
764,0.8812,0.8672,0.6547
765,0.881,0.8671,0.6558
766,0.8808,0.8676,0.6582
767,0.8806,0.8681,0.6605
768,0.8804,0.8686,0.6628
769,0.8802,0.8691,0.6651
770,0.88,0.8696,0.6674
771,0.88,0.8703,0.6699
772,0.88,0.8709,0.6723
773,0.88,0.8716,0.6747
774,0.88,0.8723,0.6771
775,0.88,0.873,0.6796
776,0.8798,0.8734,0.6812
777,0.8796,0.8739,0.6828
778,0.8794,0.8743,0.6844
779,0.8792,0.8748,0.6859
780,0.879,0.8752,0.6875
