"強度
\
波段",Black,,
,,Algorithm,Regression
579,0.033,0.0307,0.0324
580,0.033,0.0306,0.0323
581,0.033,0.0306,0.0324
582,0.033,0.0306,0.0324
583,0.033,0.0305,0.0325
584,0.033,0.0305,0.0325
585,0.033,0.0305,0.0326
586,0.033,0.0306,0.0327
587,0.033,0.0306,0.0328
588,0.033,0.0306,0.0329
589,0.033,0.0307,0.033
590,0.033,0.0307,0.0332
591,0.033,0.0308,0.0333
592,0.033,0.0308,0.0334
593,0.033,0.0308,0.0335
594,0.033,0.0309,0.0336
595,0.033,0.0309,0.0338
596,0.033,0.031,0.034
597,0.033,0.0311,0.0341
598,0.033,0.0312,0.0343
599,0.033,0.0313,0.0345
600,0.033,0.0314,0.0347
601,0.033,0.0316,0.035
602,0.033,0.0318,0.0353
603,0.033,0.032,0.0355
604,0.033,0.0322,0.0358
605,0.033,0.0323,0.0361
606,0.033,0.0326,0.0364
607,0.033,0.0329,0.0367
608,0.033,0.0332,0.037
609,0.033,0.0334,0.0374
610,0.033,0.0337,0.0377
611,0.033,0.034,0.038
612,0.033,0.0343,0.0384
613,0.033,0.0346,0.0387
614,0.033,0.0349,0.0391
615,0.033,0.0352,0.0394
616,0.033,0.0355,0.0397
617,0.033,0.0358,0.04
618,0.033,0.0361,0.0404
619,0.033,0.0364,0.0407
620,0.033,0.0367,0.041
621,0.033,0.0371,0.0413
622,0.033,0.0374,0.0417
623,0.033,0.0377,0.042
624,0.033,0.038,0.0423
625,0.033,0.0383,0.0426
626,0.033,0.0386,0.0429
627,0.033,0.0389,0.0431
628,0.033,0.0392,0.0434
629,0.033,0.0394,0.0437
630,0.033,0.0397,0.0439
631,0.033,0.0399,0.0441
632,0.033,0.0401,0.0443
633,0.033,0.0403,0.0445
634,0.033,0.0405,0.0447
635,0.033,0.0407,0.0449
636,0.033,0.0409,0.0451
637,0.033,0.0411,0.0453
638,0.033,0.0413,0.0455
639,0.033,0.0415,0.0456
640,0.033,0.0417,0.0458
641,0.033,0.0419,0.046
642,0.033,0.0421,0.0462
643,0.033,0.0423,0.0464
644,0.033,0.0425,0.0466
645,0.033,0.0427,0.0468
646,0.033,0.0429,0.047
647,0.033,0.0431,0.0472
648,0.033,0.0433,0.0474
649,0.033,0.0435,0.0476
650,0.033,0.0437,0.0478
651,0.033,0.0439,0.048
652,0.033,0.0441,0.0482
653,0.033,0.0443,0.0484
654,0.033,0.0445,0.0486
655,0.033,0.0447,0.0488
656,0.033,0.0449,0.049
657,0.033,0.045,0.0492
658,0.033,0.0452,0.0494
659,0.033,0.0454,0.0496
660,0.033,0.0456,0.0498
661,0.033,0.0458,0.05
662,0.033,0.046,0.0502
663,0.033,0.0462,0.0504
664,0.033,0.0464,0.0506
665,0.033,0.0466,0.0509
666,0.033,0.0468,0.0511
667,0.033,0.0471,0.0513
668,0.033,0.0473,0.0515
669,0.033,0.0475,0.0518
670,0.033,0.0477,0.052
671,0.033,0.048,0.0522
672,0.033,0.0482,0.0525
673,0.033,0.0485,0.0528
674,0.033,0.0487,0.053
675,0.033,0.049,0.0533
676,0.033,0.0493,0.0536
677,0.033,0.0496,0.0539
678,0.033,0.0499,0.0542
679,0.033,0.0502,0.0544
680,0.033,0.0505,0.0547
681,0.033,0.0508,0.055
682,0.033,0.0511,0.0553
683,0.033,0.0515,0.0556
684,0.033,0.0518,0.0559
685,0.033,0.0522,0.0561
686,0.0328,0.0525,0.0564
687,0.0326,0.0529,0.0567
688,0.0324,0.0533,0.057
689,0.0322,0.0536,0.0572
690,0.032,0.054,0.0575
691,0.032,0.0544,0.0578
692,0.032,0.0549,0.0582
693,0.032,0.0553,0.0585
694,0.032,0.0558,0.0588
695,0.032,0.0563,0.0591
696,0.032,0.0567,0.0594
697,0.032,0.0572,0.0597
698,0.032,0.0576,0.06
699,0.032,0.0581,0.0602
700,0.032,0.0585,0.0605
701,0.032,0.059,0.0608
702,0.032,0.0594,0.061
703,0.032,0.0598,0.0613
704,0.032,0.0602,0.0615
705,0.032,0.0607,0.0618
706,0.032,0.061,0.062
707,0.032,0.0613,0.0622
708,0.032,0.0617,0.0624
709,0.032,0.062,0.0625
710,0.032,0.0623,0.0627
711,0.032,0.0626,0.0629
712,0.032,0.0628,0.063
713,0.032,0.0631,0.0631
714,0.032,0.0634,0.0632
715,0.032,0.0636,0.0634
716,0.032,0.0639,0.0635
717,0.032,0.0641,0.0636
718,0.032,0.0644,0.0637
719,0.032,0.0646,0.0638
720,0.032,0.0649,0.0639
721,0.032,0.0652,0.064
722,0.032,0.0655,0.0642
723,0.032,0.0658,0.0644
724,0.032,0.0661,0.0645
725,0.032,0.0664,0.0647
726,0.032,0.0666,0.0648
727,0.032,0.0669,0.065
728,0.032,0.0671,0.0651
729,0.032,0.0674,0.0652
730,0.032,0.0677,0.0654
731,0.032,0.068,0.0656
732,0.032,0.0684,0.0657
733,0.032,0.0687,0.0659
734,0.032,0.069,0.0661
735,0.032,0.0694,0.0663
736,0.032,0.0697,0.0665
737,0.032,0.0701,0.0667
738,0.032,0.0705,0.0669
739,0.032,0.0708,0.0671
740,0.032,0.0712,0.0673
741,0.032,0.0715,0.0675
742,0.032,0.0718,0.0676
743,0.032,0.0721,0.0677
744,0.032,0.0725,0.0678
745,0.032,0.0728,0.068
746,0.032,0.0732,0.0682
747,0.032,0.0737,0.0684
748,0.032,0.0741,0.0687
749,0.032,0.0746,0.0689
750,0.032,0.075,0.0691
751,0.032,0.0755,0.0694
752,0.032,0.076,0.0697
753,0.032,0.0765,0.07
754,0.032,0.077,0.0703
755,0.032,0.0775,0.0706
756,0.032,0.0781,0.0709
757,0.032,0.0786,0.0712
758,0.032,0.0792,0.0715
759,0.032,0.0798,0.0718
760,0.032,0.0803,0.0721
761,0.032,0.0806,0.0722
762,0.032,0.0809,0.0723
763,0.032,0.0812,0.0724
764,0.032,0.0815,0.0726
765,0.032,0.0818,0.0727
766,0.032,0.0816,0.0723
767,0.032,0.0814,0.0719
768,0.032,0.0812,0.0715
769,0.032,0.081,0.0712
770,0.032,0.0808,0.0708
771,0.032,0.0807,0.0705
772,0.032,0.0806,0.0702
773,0.032,0.0805,0.0699
774,0.032,0.0804,0.0696
775,0.032,0.0803,0.0693
776,0.032,0.0803,0.0692
777,0.032,0.0804,0.0691
778,0.032,0.0805,0.0689
779,0.032,0.0805,0.0688
780,0.032,0.0806,0.0686
