27	57	55	
29	59	57	
30	60	58	
39	69	67	
38	68	66	
36	66	64	
34	64	62	
31	61	59	
29	59	57	
27	57	55	
27	56	54	
30	56	55	
30	54	54	
29	53	53	
28	52	52	
26	50	50	
25	49	49	
24	48	48	
23	47	47	
32	56	56	
31	55	55	
28	52	52	
26	50	50	
25	49	49	
25	49	49	
26	50	50	
26	51	48	
27	49	46	
31	54	48	
36	58	55	
39	60	55	
41	61	59	
45	64	60	
53	69	68	
58	74	71	
41	55	55	
54	69	66	
57	69	69	
67	79	77	
124	134	135	
175	185	184	
143	153	154	
71	83	83	
25	43	43	
20	42	40	
36	57	58	
41	63	61	
22	43	44	
20	42	40	
26	47	48	
16	38	36	
44	65	66	
54	76	74	
67	88	89	
75	97	95	
72	93	94	
61	83	81	
48	69	70	
39	61	59	
35	60	54	
34	61	52	
34	61	52	
34	61	52	
34	61	52	
35	61	52	
35	61	52	
37	60	52	
39	62	54	
39	62	54	
38	61	53	
37	60	52	
37	58	51	
36	57	50	
36	57	50	
34	57	49	
33	59	50	
36	62	51	
48	72	58	
59	80	63	
61	78	59	
64	78	53	
84	94	67	
109	115	87	
147	150	119	
154	153	122	
157	153	124	
156	151	122	
154	147	121	
159	151	128	
171	163	140	
181	174	148	
174	168	134	
169	161	124	
161	151	115	
156	143	108	
155	140	107	
157	141	108	
161	142	110	
162	143	113	
172	155	125	
170	155	124	
175	161	132	
189	180	149	
205	200	168	
206	206	172	
188	192	157	
171	177	143	
155	162	129	
140	150	116	
99	113	80	
53	70	38	
35	54	24	
42	67	38	
42	71	43	
28	60	36	
37	72	48	
35	74	53	
33	75	55	
33	76	57	
31	75	60	
30	74	59	
26	72	59	
29	69	58	
37	65	51	
40	62	49	
35	57	44	
29	53	39	
26	50	37	
30	54	41	
39	62	52	
48	69	60	
86	107	102	
126	145	141	
144	160	159	
150	164	164	
120	130	132	
107	115	118	
131	139	142	
102	112	111	
58	78	66	
55	79	63	
51	75	59	
44	68	52	
37	61	47	
33	57	43	
34	58	45	
36	60	47	
38	61	51	
37	60	50	
37	60	52	
36	59	51	
35	58	52	
35	58	52	
34	56	53	
34	56	53	
31	54	48	
31	54	46	
31	54	46	
31	54	46	
31	54	46	
31	54	46	
31	54	46	
31	54	46	
31	54	46	
30	53	45	
30	53	45	
31	54	46	
32	55	47	
34	57	49	
37	60	52	
38	61	53	
