31	42	38	
30	39	36	
31	37	35	
34	36	35	
32	36	35	
33	39	35	
32	41	36	
32	41	36	
32	41	36	
31	40	37	
28	37	34	
25	34	33	
24	33	32	
28	36	38	
23	31	34	
19	27	30	
18	25	31	
22	29	35	
25	32	38	
26	33	41	
24	33	40	
50	60	62	
49	61	61	
49	61	61	
48	60	58	
48	60	56	
48	61	52	
48	61	51	
48	62	47	
48	63	44	
49	64	41	
53	69	43	
57	73	44	
60	77	45	
63	80	46	
65	82	48	
66	82	55	
60	70	61	
52	61	58	
42	51	50	
38	47	44	
40	49	48	
45	54	51	
48	57	56	
50	59	56	
61	70	69	
62	71	68	
61	70	69	
59	68	65	
55	64	63	
49	58	55	
43	52	51	
40	49	48	
30	38	40	
28	36	38	
24	32	34	
21	29	31	
20	28	30	
20	28	30	
22	30	32	
23	31	33	
21	29	31	
20	28	30	
20	28	30	
22	30	32	
27	35	37	
34	42	44	
39	47	49	
43	48	51	
45	44	49	
48	46	51	
50	48	53	
53	51	56	
54	52	57	
55	53	58	
54	52	57	
54	52	57	
44	42	47	
46	44	49	
47	45	50	
43	41	46	
39	37	42	
45	43	48	
59	57	62	
71	69	72	
77	75	78	
72	70	71	
63	63	63	
52	56	55	
45	51	49	
41	50	47	
39	51	47	
38	53	48	
37	49	45	
37	49	45	
39	48	45	
43	49	47	
50	52	51	
57	57	57	
64	62	63	
67	65	66	
73	72	77	
77	76	81	
81	80	85	
79	78	83	
72	71	76	
65	64	69	
61	60	65	
59	58	63	
58	57	62	
58	57	62	
59	58	63	
57	56	61	
52	51	56	
44	43	48	
36	35	40	
31	32	37	
33	37	46	
34	41	51	
36	43	53	
38	45	55	
36	43	53	
31	38	48	
26	33	43	
23	30	40	
20	27	37	
27	34	44	
36	43	53	
39	46	56	
37	44	54	
34	41	51	
31	38	48	
33	37	46	
38	41	50	
44	44	52	
38	41	48	
30	33	40	
32	35	42	
41	46	52	
47	52	58	
43	50	56	
25	34	39	
26	35	40	
27	38	42	
30	41	45	
32	46	49	
35	49	52	
37	51	54	
38	52	55	
49	60	64	
45	56	60	
39	50	54	
33	44	48	
30	41	45	
30	41	45	
32	43	47	
33	44	48	
26	37	41	
34	45	49	
44	55	59	
49	60	64	
47	58	62	
42	53	57	
38	49	53	
37	48	50	
47	55	58	
50	58	60	
50	58	60	
45	53	55	
38	46	48	
31	39	41	
29	37	39	
29	37	39	
40	48	50	
46	54	56	
54	62	64	
59	67	69	
60	68	70	
60	68	70	
63	71	73	
65	75	74	
77	88	82	
78	91	84	
79	92	85	
78	91	84	
75	87	83	
69	81	77	
63	75	73	
59	71	69	
53	65	65	
51	62	64	
49	60	62	
47	58	62	
45	56	60	
40	51	55	
33	44	50	
28	39	43	
53	65	65	
49	61	59	
43	55	55	
37	49	49	
32	44	44	
30	42	42	
29	40	44	
29	40	44	
28	39	45	
26	37	43	
26	36	45	
30	40	49	
37	47	57	
41	51	61	
41	51	61	
39	49	59	
38	47	62	
37	46	61	
33	42	57	
30	39	54	
27	36	51	
26	35	50	
25	34	49	
25	34	49	
14	23	38	
20	29	44	
28	37	52	
34	43	58	
35	44	59	
32	41	56	
26	35	50	
22	32	44	
33	43	53	
29	39	48	
24	34	43	
20	30	39	
19	29	38	
20	30	39	
23	33	42	
25	35	44	
40	50	59	
41	51	60	
42	52	61	
42	52	61	
40	50	59	
41	51	60	
44	54	63	
47	57	66	
57	67	76	
53	63	72	
47	57	66	
39	49	58	
34	44	53	
35	45	54	
41	51	60	
46	56	65	
39	49	58	
40	50	59	
43	53	62	
46	56	65	
50	60	69	
56	66	75	
61	71	80	
65	75	85	
43	49	63	
45	51	67	
48	54	70	
51	57	73	
53	59	75	
54	60	76	
55	61	77	
55	61	77	
44	50	66	
41	47	63	
40	46	62	
46	52	68	
58	64	80	
67	73	89	
69	75	91	
68	74	88	
79	82	91	
67	70	77	
56	59	66	
56	59	66	
66	69	76	
76	79	86	
79	82	89	
77	80	87	
83	86	93	
76	79	86	
66	69	76	
58	61	68	
57	60	67	
63	66	73	
72	75	82	
77	82	88	
74	78	89	
76	83	93	
76	83	93	
66	73	83	
51	58	68	
42	49	59	
45	52	62	
28	39	35	
28	37	34	
32	38	36	
38	40	39	
38	43	39	
34	41	34	
31	41	33	
30	39	34	
29	38	33	
27	36	33	
25	34	31	
23	32	31	
22	31	30	
21	29	31	
18	26	28	
17	25	28	
21	29	32	
26	33	39	
31	38	44	
31	38	44	
29	38	43	
35	45	46	
37	49	47	
41	53	51	
47	59	55	
51	64	57	
54	67	58	
56	69	59	
57	71	56	
69	83	66	
68	83	62	
66	81	58	
63	79	53	
62	78	51	
62	78	51	
63	79	50	
64	79	56	
52	62	54	
44	53	52	
34	43	42	
29	38	37	
31	40	39	
35	44	43	
38	47	46	
38	47	46	
49	58	57	
48	57	56	
45	54	53	
41	50	49	
35	44	43	
30	39	38	
25	34	33	
22	31	30	
32	40	42	
29	37	39	
25	33	35	
22	30	32	
20	28	30	
19	27	29	
20	28	30	
21	29	31	
23	31	33	
23	31	33	
24	32	34	
24	32	34	
25	33	35	
28	36	38	
34	42	44	
41	46	49	
36	37	41	
38	37	42	
40	39	44	
43	42	47	
44	43	48	
45	44	49	
45	44	49	
44	43	48	
52	51	56	
47	46	51	
41	40	45	
38	37	42	
39	38	43	
43	42	47	
46	45	50	
48	48	50	
48	46	49	
45	45	45	
40	42	41	
35	39	38	
29	38	35	
28	39	35	
25	40	35	
25	40	35	
28	43	38	
28	43	38	
31	42	38	
34	43	40	
41	45	44	
49	51	50	
55	55	55	
60	58	59	
62	61	66	
67	66	71	
71	70	75	
71	70	75	
67	66	71	
62	61	66	
59	58	63	
59	58	63	
58	57	62	
59	58	63	
60	59	64	
59	58	63	
56	55	60	
50	49	54	
44	43	48	
39	40	45	
37	41	50	
36	43	53	
38	45	55	
38	45	55	
36	43	53	
31	38	48	
25	32	42	
22	29	39	
25	32	42	
31	38	48	
39	46	56	
42	49	59	
39	46	56	
35	42	52	
32	39	49	
34	38	47	
29	32	41	
36	36	44	
34	37	44	
29	32	39	
31	34	41	
38	43	49	
40	45	51	
33	40	46	
31	40	45	
31	40	45	
31	42	46	
32	43	47	
30	44	47	
31	45	48	
32	46	49	
32	46	49	
45	56	60	
41	52	56	
36	47	51	
32	43	47	
29	40	44	
30	41	45	
32	43	47	
33	44	48	
22	33	37	
31	42	46	
42	53	57	
49	60	64	
50	61	65	
48	59	63	
47	58	62	
47	58	60	
45	53	56	
47	55	57	
48	56	58	
43	51	53	
36	44	46	
29	37	39	
27	35	37	
27	35	37	
50	58	60	
56	64	66	
63	71	73	
67	75	77	
68	76	78	
69	77	79	
72	80	82	
73	83	82	
74	85	79	
71	84	75	
67	80	73	
64	77	70	
62	74	70	
62	74	70	
63	75	73	
63	75	73	
66	78	78	
56	68	68	
44	55	57	
38	49	51	
41	52	56	
46	57	61	
48	59	63	
48	59	63	
55	67	67	
51	63	61	
45	57	57	
38	50	50	
34	46	46	
32	44	44	
32	43	47	
33	44	48	
32	43	49	
30	41	47	
29	39	48	
32	42	51	
37	47	57	
40	50	60	
39	49	59	
37	47	57	
38	47	62	
36	45	60	
33	42	57	
30	39	54	
26	35	50	
24	33	48	
22	31	46	
22	31	46	
19	28	43	
23	32	47	
29	38	53	
33	42	57	
35	44	59	
33	42	57	
29	38	53	
27	37	49	
29	39	49	
26	36	45	
21	31	40	
17	27	36	
16	26	35	
17	27	36	
19	29	38	
21	31	40	
24	34	43	
35	45	54	
48	58	67	
55	65	74	
56	66	75	
57	67	76	
59	69	78	
63	73	82	
53	63	72	
52	62	71	
48	58	67	
42	52	61	
37	47	56	
34	44	53	
34	44	53	
35	45	54	
39	49	58	
39	49	58	
41	51	60	
46	56	65	
51	61	70	
56	66	75	
57	67	76	
57	67	77	
41	47	61	
43	49	65	
46	52	68	
48	54	70	
50	56	72	
49	55	71	
48	54	70	
48	54	70	
44	50	66	
42	48	64	
43	49	65	
49	55	71	
57	63	79	
62	68	84	
60	66	82	
57	63	77	
62	65	74	
55	58	65	
49	52	59	
54	57	64	
65	68	75	
73	76	83	
73	76	83	
70	73	80	
78	81	88	
74	77	84	
67	70	77	
63	66	73	
64	67	74	
70	73	80	
77	80	87	
82	87	93	
81	85	96	
81	88	98	
