100	109	124	
107	116	131	
111	120	135	
104	112	131	
101	109	128	
95	103	122	
87	95	114	
79	87	106	
71	79	98	
65	73	92	
62	70	89	
61	69	88	
60	68	87	
61	69	88	
67	75	94	
76	84	103	
85	93	112	
89	97	116	
89	97	116	
77	85	104	
74	82	101	
72	80	99	
74	82	101	
77	85	104	
78	86	105	
76	84	103	
73	81	100	
71	79	98	
72	80	99	
72	80	99	
68	76	95	
64	72	91	
64	72	91	
68	76	95	
72	80	99	
82	90	109	
79	87	106	
76	84	103	
77	85	104	
79	87	106	
80	88	107	
77	85	104	
74	82	101	
68	76	95	
73	81	100	
80	88	107	
85	93	112	
86	94	113	
82	90	109	
75	83	102	
71	79	98	
71	79	98	
79	87	106	
89	97	116	
94	102	121	
92	100	119	
88	96	115	
84	92	111	
83	91	110	
87	95	114	
86	94	113	
84	92	111	
81	89	108	
79	87	106	
76	84	103	
74	82	101	
73	81	100	
78	86	105	
76	84	103	
75	83	102	
75	83	102	
74	82	101	
68	76	95	
58	66	85	
51	59	78	
49	57	76	
43	51	70	
45	53	72	
55	63	82	
59	67	86	
53	61	80	
49	57	76	
51	59	78	
73	78	100	
74	79	101	
74	79	99	
70	75	95	
68	73	92	
76	81	100	
90	96	112	
103	109	125	
118	124	138	
122	128	142	
126	132	144	
127	133	145	
127	134	144	
129	136	146	
133	140	148	
136	145	154	
133	140	158	
123	131	150	
113	121	140	
106	114	133	
101	109	128	
94	102	121	
83	91	110	
74	82	101	
70	78	97	
73	81	100	
78	86	105	
84	92	111	
89	97	116	
93	101	120	
95	103	122	
96	104	123	
97	105	124	
96	104	123	
94	102	121	
92	100	119	
90	98	117	
88	96	115	
87	95	114	
86	94	113	
88	96	115	
91	99	118	
96	104	123	
101	109	128	
102	110	129	
100	108	127	
97	105	124	
94	102	121	
93	101	120	
90	98	117	
87	95	114	
88	96	115	
90	98	117	
91	99	118	
88	96	115	
85	93	112	
77	85	104	
75	83	102	
75	83	102	
80	88	107	
87	95	114	
94	102	121	
96	104	123	
96	104	123	
90	98	121	
86	94	117	
80	88	111	
74	82	105	
70	78	101	
68	76	99	
68	76	99	
69	77	100	
67	75	98	
62	70	93	
57	65	88	
56	64	87	
58	66	89	
61	69	92	
61	69	92	
60	68	89	
